Uniprot ID	Protein	Node	Tissue	angle	G.x	G.y
A2A4P0	Testis_no significant	3023	Testis	-228.4016888	-20.24907722	22.80843861
A2A4P0	Thymus_down	3210	Thymus	-245.3196622	-12.73543591	27.71387148
A2A5R2	Cerebellum_no significant	676	Cerebellum	13.93244873	29.60269841	7.343721583
A2A7S8	Kidney_no significant	1611	Kidney	-70.65741858	10.10207949	-28.77842925
A2A863	Skin_no significant	2391	Skin	-171.2243667	-30.14294729	-4.653249257
A2A8U2	Cerebellum_no significant	704	Cerebellum	11.39927624	29.89834698	6.028171204
A2A8Z1	Kidney_no significant	1412	Kidney	-52.65379976	18.50220372	-24.24702987
A2AAY5	Skin_down	2398	Skin	-171.8576598	-30.19253758	-4.319800293
A2AGT5	Cerebellum_no significant	755	Cerebellum	6.785283474	30.28637457	3.603542042
A2AI08	Colon_no significant	912	Colon	-7.418576598	30.24469523	-3.938071922
A2AIG8	WAT_no significant	3258	WAT	-249.6622437	-10.60038538	28.59863335
A2AIV2	Thymus_down	3102	Thymus	-235.548854	-17.25395152	25.15056971
A2AJ88	Testis_no significant	2902	Testis	-217.4547648	-24.21192823	18.54811396
A2AJL3	Liver_no significant	1652	Liver	-74.36670688	8.219123058	-29.37168732
A2AKG8	Heart_no significant	1365	Heart	-48.40168878	20.24907722	-22.80843861
A2AKX3	Testis_no significant	2887	Testis	-216.0977081	-24.64441029	17.9695031
A2ALW5	Pancrea_no significant	2242	Pancrea	-157.7442702	-28.22783031	-11.55160578
A2APV2	Spinal cord_up	2487	Spinal cord	-179.9095296	-30.49996198	-0.048159698
A2APY7	BAT_no significant	129	BAT	63.41978287	13.64723509	27.27641792
A2AQ07	Spleen_no significant	2738	Spleen	-202.6176116	-28.15430749	11.72966197
A2AR02	Spleen_no significant	2797	Spleen	-207.9553679	-26.94104749	14.29790055
A2ARP1	WAT_no significant	3301	WAT	-253.5524729	-8.635682021	29.25192295
A2ASQ1	Brain_no significant	615	Brain	19.45114596	28.75923609	10.15659094
A2ASS6	Muscle_no significant	1994	Muscle	-135.3075995	-21.68222929	-21.45066277
A2BE28	Spleen_no significant	2802	Spleen	-208.4077201	-26.82732659	14.51015327
A2BE28	Thymus_no significant	3222	Thymus	-246.4053076	-12.20805638	27.95019427
A2BH40	Thymus_down	3151	Thymus	-239.9819059	-15.25834075	26.40895753
A2RSJ4	Testis_no significant	2851	Testis	-212.840772	-25.62551769	16.54033987
A2RSX7	Testis_no significant	3004	Testis	-226.6827503	-20.92414156	22.19077061
A2RSY6	Small intestine_no significant	2438	Small intestine	-175.4764777	-30.40499369	-2.405485145
A6H584	WAT_up	3240	WAT	-248.0337756	-11.40882869	28.28583794
A6H5Y3	Testis_no significant	2816	Testis	-209.6743064	-26.50003509	15.09960728
A6H5Z3	Spinal cord_no significant	2563	Spinal cord	-186.7852835	-30.28637457	3.603542042
A6H611	BAT_no significant	284	BAT	49.39686369	19.84988123	23.15668835
A6H619	Testis_no significant	3032	Testis	-229.2159228	-19.92291128	23.09388677
A6H630	Muscle_up	2093	Muscle	-144.2641737	-24.75741387	-17.81349091
A6H630	Testis_no significant	2977	Testis	-224.2400483	-21.85090554	21.27881405
A6X8Z5	Brain_no significant	645	Brain	16.73703257	29.20791514	8.78337594
