Uniprot ID	BAT	Beige.fat	Bladder	Bone	Brain	Cerebellum	Colon	Eye	Heart	Kidney	Liver	Lung	Muscle	Pancrea	Skin	Small.intestine	Spinal.cord	Spleen	Testis	Thymus	WAT
A2A4P0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
A2A5R2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2A7S8	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
A2A863	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
A2A8U2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2A8Z1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
A2AAY5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
A2AGT5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2AI08	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2AIG8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A2AIV2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
A2AJ88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
A2AJL3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
A2AKG8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
A2AKX3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
A2ALW5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
A2APV2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
A2APY7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2AQ07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
A2AR02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
A2ARP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A2ASQ1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2ASS6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
A2BE28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
A2BH40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
A2RSJ4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
A2RSX7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
A2RSY6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
A6H584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A6H5Y3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
A6H5Z3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
A6H611	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
