Description	BAT	Beige fat	Bladder	Bone	Brain	Cerebellum	Colon	Eye	Heart	Kidney	Liver	Lung	Muscle	Pancrea	Skin	Small intestine	Spinal cord	Spleen	Testis	Thymus	WAT
Thermogenesis	23.24235977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.310561909
Fatty acid metabolism	18.12164421	0	0	0	0	0	0	0	0	2.300878892	2.08981006	0	0	0	0	0	0	0	0	0	0
AMPK signaling pathway	3.926581391	0	0	0	0	0	0	1.716109945	0	0	0	0	2.489467437	1.71848994	0	0	1.445803799	0	0	0	0
Insulin resistance	2.223131274	0	0	0	0	0	0	0	0	0	0	0	2.082628335	0	0	2.408140738	0	0	0	0	0
Complement and coagulation cascades	0	5.997514235	0	2.767639649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.346937519
PI3K-Akt signaling pathway	0	1.48267149	0	0	2.26286252	0	0	0	0	0	0	1.695847161	0	0	0	0	0	0	0	0	2.742693039
Cytoskeleton in muscle cells	0	0	14.44650724	0	0	0	0	0	0	0	0	2.515163387	16.88846089	0	11.63458418	0	2.135340662	0	0	0	1.324388064
Focal adhesion	0	0	8.870197208	0	3.384358908	0	0	0	0	0	0	5.59969067	0	0	0	0	0	0	0	0	3.128460555
Vascular smooth muscle contraction	0	0	7.856507211	0	1.990603311	0	0	0	0	0	0	3.410616668	0	0	0	2.084272358	0	0	0	0	0
Inflammatory mediator regulation of TRP channels	0	0	2.627397829	0	0	0	0	0	0	0	0	0	2.489467437	0	0	2.234251314	0	0	0	0	0
Osteoclast differentiation	0	0	0	1.431567901	0	2.014932916	0	0	0	0	0	0	2.359366007	0	0	0	0	1.5529053	0	0	0
IL-17 signaling pathway	0	0	0	2.784729151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tight junction	0	0	3.063608391	0	7.298663975	0	0	0	0	0	0	4.068067081	1.912037404	0	0	0	0	1.315128149	0	0	0
Axon guidance	0	0	1.344826	0	3.603537966	2.097519937	0	0	0	0	0	2.115832003	0	0	0	0	3.386166422	0	0	0	0
Gap junction	0	0	2.194341298	0	2.613036683	1.306338306	0	0	0	0	0	4.466305693	0	0	0	0	2.813300849	0	0	0	0
Ras signaling pathway	0	0	1.703107457	0	2.210974878	1.589983457	0	0	0	0	0	0	0	0	0	0	0	1.559556535	0	0	0
Synaptic vesicle cycle	0	0	0	0	0	5.048191141	0	0	0	0	0	0	0	0	0	0	3.028855356	0	0	0	0
Long-term potentiation	0	0	0	0	0	4.362380039	0	0	0	0	0	0	0	0	0	4.385506799	0	0	0	0	0
GABAergic synapse	0	0	0	0	0	2.784399468	0	0	0	0	0	0	0	0	0	0	1.949896224	0	0	0	0
Long-term depression	0	0	0	0	0	2.585405823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amino sugar and nucleotide sugar metabolism	0	0	0	0	0	0	7.634189482	3.430062719	2.074231008	0	2.325986548	0	1.700972166	0	0	0	0	0	0	0	0
VEGF signaling pathway	0	0	0	0	3.106878414	0	3.888456316	0	0	0	0	0	1.555036353	0	0	0	0	0	0	0	0
Nucleocytoplasmic transport	0	0	0	3.356240492	0	0	0	6.736300589	0	0	0	0	0	0	0	0	0	0	1.43835016	4.996410052	0
Pathways of neurodegeneration - multiple diseases	11.30564727	0	0	0	0	5.488793516	0	5.261873403	0	0	0	0	0	0	1.328715071	1.329172192	0	0	0	0	0
Glutathione metabolism	1.654038969	0	0	2.1533925	0	0	0	2.744361493	0	1.336049798	2.870320682	0	0	0	2.132818966	0	0	0	1.382448594	0	0
Dopaminergic synapse	0	0	0	0	0	3.490259522	0	2.216955284	0	0	0	0	3.058177794	0	0	2.16107182	0	0	0	0	0
Protein export	0	0	0	0	0	0	0	0	10.74747109	0	0	0	0	4.902009559	0	0	0	0	0	0	0
N-Glycan biosynthesis	0	0	0	0	0	0	0	0	9.358788404	0	0	0	0	4.186876837	0	0	0	0	0	0	0
Protein processing in endoplasmic reticulum	0	0	0	0	0	0	0	5.104489396	7.751973418	0	0	0	0	14.61325249	1.827832601	0	0	0	3.297482989	0	0
mTOR signaling pathway	0	0	0	0	0	0	0	0	2.019935651	0	0	0	0	2.060909102	0	0	1.722042641	0	0	0	0
Proximal tubule bicarbonate reclamation	0	0	0	0	0	2.936504011	0	0	0	2.748950854	0	0	0	0	0	0	4.253477878	0	0	0	0
Taurine and hypotaurine metabolism	0	0	0	0	0	0	0	0	0	2.748950854	0	0	0	0	0	0	0	0	0	0	0
Sphingolipid metabolism	0	0	0	0	0	0	0	0	0	1.633739362	0	0	0	0	0	0	0	0	0	0	0
Pentose phosphate pathway	1.86154455	0	0	0	0	0	0	0	0	0	8.645938043	0	3.248574014	0	0	0	0	0	0	0	0
Arginine biosynthesis	0	0	0	0	0	0	0	0	0	0	8.559792031	0	0	0	0	0	0	0	0	0	0
Alanine, aspartate and glutamate metabolism	0	0	0	0	0	0	0	0	0	2.035678639	8.201710115	0	2.015870774	0	0	0	0	0	0	0	0
Glycine, serine and threonine metabolism	0	0	0	0	0	0	0	0	0	3.004004888	6.611391759	0	0	4.790044078	0	0	0	0	0	0	0
Drug metabolism - cytochrome P450	0	0	0	0	0	0	0	0	0	0	6.341628002	0	0	0	0	0	0	0	0	0	0
Metabolism of xenobiotics by cytochrome P450	0	0	0	0	0	0	0	0	0	0	5.008127454	0	0	0	0	0	0	0	0	0	0
Fatty acid degradation	13.70327472	0	0	0	0	0	0	0	0	3.560281035	4.615426365	0	0	0	0	0	0	0	0	0	0
PPAR signaling pathway	2.677961129	0	0	0	0	0	0	0	0	2.500953135	4.547007634	0	0	0	0	0	0	0	0	0	4.802101231
Cysteine and methionine metabolism	0	0	0	0	0	0	0	1.538598383	0	0	4.495731867	0	3.411971747	0	0	0	0	0	0	0	0
Vitamin digestion and absorption	0	0	0	0	0	0	0	0	0	0	3.177123203	0	0	0	0	0	0	0	0	0	0
Small cell lung cancer	0	0	0	0	0	0	0	0	0	0	0	3.162848366	0	0	0	0	0	1.979882291	0	0	2.359932378
EGFR tyrosine kinase inhibitor resistance	0	0	0	0	0	0	0	0	0	0	0	2.323125461	0	1.592565844	0	0	0	0	0	0	0
Leukocyte transendothelial migration	0	0	3.750365935	1.57054576	5.726331298	0	0	0	0	0	0	2.764994816	0	0	0	0	0	3.543212336	0	0	0
Glycolysis / Gluconeogenesis	4.223334654	0	0	0	0	0	0	0	0	2.181543871	4.079981239	0	9.650324806	0	0	0	0	0	0	0	0
Hypertrophic cardiomyopathy	0	0	5.291101298	0	0	0	0	0	0	0	0	0	8.844073317	0	2.641972133	0	0	0	0	0	0
Dilated cardiomyopathy	0	0	6.462605	0	0	0	0	0	0	0	0	0	6.578536591	0	2.595322438	0	0	0	0	0	0
Insulin signaling pathway	3.629674251	0	2.486001329	0	0	0	0	0	0	0	0	0	5.37869857	2.279434284	0	0	1.325493924	0	0	0	0
Calcium signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	5.182216461	0	0	0	0	0	0	0	0
Growth hormone synthesis, secretion and action	0	0	1.831267329	0	0	0	0	0	0	0	0	0	3.4297517	0	0	0	0	0	0	0	0
Alcoholic liver disease	2.909927113	0	0	0	0	0	0	0	0	1.683188337	2.598905369	0	2.947708908	0	0	0	0	0	0	0	0
Ribosome	10.66882954	0	0	0	0	0	0	0	0	1.831554506	0	0	0	15.51905643	0	0	0	0	0	0	0
SNARE interactions in vesicular transport	0	0	0	0	0	0	0	0	0	0	0	0	0	3.869501017	0	0	0	0	0	0	0
Pancreatic secretion	0	0	0	0	0	0	0	0	0	0	0	0	0	1.874083526	0	0	3.052514623	0	0	0	0
Antigen processing and presentation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.864129192	0	0	0	0	0	0
ECM-receptor interaction	0	0	2.15322862	0	0	0	0	0	0	0	0	0	0	0	1.882332014	0	0	0	0	0	4.802101231
Drug metabolism - other enzymes	1.34744248	0	0	1.889365436	0	0	0	1.623743996	0	0	2.515078451	0	0	0	0	3.883965758	0	0	0	0	0
Lipid and atherosclerosis	0	0	0	0	1.527434333	0	0	0	0	0	0	1.855188503	2.486702061	0	1.499634686	3.410809314	0	0	0	0	0
NOD-like receptor signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	2.486702061	0	0	2.462544143	0	0	0	0	0
C-type lectin receptor signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	2.050603635	0	0	2.386210495	0	1.763836476	0	0	0
Salmonella infection	0	0	0	0	2.111823632	0	0	2.442148897	0	0	0	0	2.101598388	0	0	2.232201328	4.425287822	2.851197961	0	0	0
Phagosome	0	0	2.099716723	3.363443147	0	0	0	0	0	0	0	0	0	0	1.762136059	0	2.719961589	0	0	0	0
cGMP-PKG signaling pathway	0	0	0	0	0	2.201955765	0	0	0	0	0	1.423249769	2.458767391	0	0	1.875803198	1.571427236	0	0	0	0
Motor proteins	0	0	0	0	0	0	0	0	0	0	0	1.997354605	2.153053541	0	1.633821495	0	3.157972483	0	0	0	0
Autophagy - animal	0	0	0	0	0	3.696769933	0	0	0	0	0	0	0	0	0	0	1.629488225	0	1.487392558	0	0
Fc gamma R-mediated phagocytosis	0	0	2.100748134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.775230962	0	0	0
