id	snp	PC 18:3_16:0_Bladder	PC 18:3_16:0_Heart	PC 18:4_16:0_Spleen	PC 18:4_16:0_Heart	PC 20:4_22:6_Spinal cord	PC 22:0_20:2_Brain	PC 22:0_20:2_Cerebellum		Metabolite abundance
O1	Aged	19982294.41	2956865.02	10686105.02	6010070.25	11866502.92	8345270.38	4797965.37		
O2	Aged	14560773.36	4740152	7444756.78	5277808.32	2175838.89	1414610.31	5105275.24		
O3	Aged	13657298.02	1639755.46	5826934.46	1854262.98	2946568.13	2383143.25	6018894.91		
O4	Aged	18410400.46	3440787.44	5174091.48	3237856.13	4265775.22	725311.57	7802226.77		
Y1	Young	2149812.86	1544461	2685998.9	451652.89	32096362.71	16437584.85	10533296.33		
Y2	Young	2863406.03	1260112.81	4450519.49	50188.71	41265885.31	18462396.73	6813605.51		
Y3	Young	2849112.3	2105626.21	2652276	303458.24	44636602.49	9185352.11	9674795.28		
Y4	Young	2987355.84	694762.79	3419771.74	1066669.57	44084651.17	7229148.6	9384548.32		
										
										
id	snp	PC22:6_Heart	PC18:3_Liver	PC20:5_Liver	PC20:3_Brain	PC20:3_Cerebellum	PC20:3_Spinal Cord			Concentration (ug/g)
O1	Aged	2690	97	44.5	53	35.5	51.4			
O2	Aged	2690	28.6	19.9	47.7	68.8	64.2			
O3	Aged	4000	79	39.2	60.6	73.6	64			
O4	Aged	2770	85.2	39	54.7	72.4	67			
O5	Aged	3030	56	31.8	60.9	62.4	62.2			
Y1	Young	2080	21.1	16	84.8	103	118			
Y2	Young	1720	39	18	81.3	155	228			
Y3	Young	1410	31.2	14.3	107	140	201			
Y4	Young	1440	29.6	14.2	98	114	150			
Y5	Young	1870	22.6	14.1	76.7	153	192			
										


