Tissue	kegg_pathway_ID	kegg_pathway_Name	IDs	S	B	Rich.Factor	P.value	Sig.Sign.P
BAT	ko00470	D-Amino acid metabolism	C00064|L-Glutamine, C00049|aspartate, C00148|proline, C01157|L-Hydroxyproline, C00624|N-Acetyl-L-glutamic acid, C00064|Glutamine, C05942|Pyrrole-2-Carboxylate, C00515|D-Ornithine, C01672|Cadaverine, C00064|glutamine, C00135|L-Histidine, C00049|L-Aspartic Acid, C00077|Ornithine, C04282|1-Pyrroline-4-hydroxy-2-carboxylate	14	69	0.2029	4.29E-15	****
BAT	ko04979	Cholesterol metabolism	C00422|TG(16:0/16:0/18:2), C00422|TG(18:0/18:2/18:2), C00422|TG(16:1/16:1/18:2), C00422|TG(16:1/18:2/18:2), C00422|TG(16:1/18:1/18:2), C00422|TG(16:1/18:1/18:1), C00422|TG(18:2/18:2/18:2)	7	10	0.7	1.14E-12	****
BAT	ko02010	ABC transporters	C00064|L-Glutamine, C00049|aspartate, C00148|proline, C00120|5-(2-oxohexahydro-1H-thieno[3,4-d]imidazol-4-yl)pentanoic acid, C01157|L-Hydroxyproline, C00064|Glutamine, C00093|sn-Glycerol 3-phosphate, C00430|5-Aminolevulinic acid, C22040|S-Methyl-L-cysteine, C01487|Allose, C00064|glutamine, C00135|L-Histidine, C00049|L-Aspartic Acid, C00077|Ornithine, C00031|D-Glucose	15	138	0.1087	5.95E-12	****
BAT	ko04931	Insulin resistance	C00422|TG(16:0/16:0/18:2), C00422|TG(18:0/18:2/18:2), C00422|TG(16:1/16:1/18:2), C00422|TG(16:1/18:2/18:2), C00422|TG(16:1/18:1/18:2), C00031|D-Glucose, C00422|TG(16:1/18:1/18:1), C00422|TG(18:2/18:2/18:2)	8	19	0.4211	6.30E-12	****
BAT	ko04975	Fat digestion and absorption	C00422|TG(16:0/16:0/18:2), C00422|TG(18:0/18:2/18:2), C00422|TG(16:1/16:1/18:2), C00422|TG(16:1/18:2/18:2), C00422|TG(16:1/18:1/18:2), C00422|TG(16:1/18:1/18:1), C00422|TG(18:2/18:2/18:2)	7	13	0.5385	1.59E-11	****
BAT	ko01230	Biosynthesis of amino acids	C00064|L-Glutamine, C00049|aspartate, C00956|L-2-Aminoadipic acid, C00263|L-Homoserine, C00979|O-Acetyl-L-serine, C03406|Argininosuccinic acid, C00148|proline, C00624|N-Acetyl-L-glutamic acid, C00064|Glutamine, C00064|glutamine, C00135|L-Histidine, C00049|L-Aspartic Acid, C00077|Ornithine, C00979|O-Acetylserine	14	128	0.1094	3.04E-11	****
BAT	ko04923	Regulation of lipolysis in adipocytes	C00422|TG(16:0/16:0/18:2), C00422|TG(18:0/18:2/18:2), C00422|TG(16:1/16:1/18:2), C00422|TG(16:1/18:2/18:2), C00422|TG(16:1/18:1/18:2), C00422|TG(16:1/18:1/18:1), C00422|TG(18:2/18:2/18:2)	7	14	0.5	3.16E-11	****
BAT	ko05417	Lipid and atherosclerosis	C00422|TG(16:0/16:0/18:2), C00422|TG(18:0/18:2/18:2), C00422|TG(16:1/16:1/18:2), C00422|TG(16:1/18:2/18:2), C00422|TG(16:1/18:1/18:2), C00422|TG(16:1/18:1/18:1), C00422|TG(18:2/18:2/18:2)	7	14	0.5	3.16E-11	****
BAT	ko00220	Arginine biosynthesis	C00064|L-Glutamine, C00049|aspartate, C03406|Argininosuccinic acid, C00624|N-Acetyl-L-glutamic acid, C00064|Glutamine, C00064|glutamine, C00049|L-Aspartic Acid, C00077|Ornithine	8	23	0.3478	3.95E-11	****
BAT	ko04714	Thermogenesis	C00422|TG(16:0/16:0/18:2), C11695|Anandamide, C00422|TG(18:0/18:2/18:2), C00422|TG(16:1/16:1/18:2), C00422|TG(16:1/18:2/18:2), C00422|TG(16:1/18:1/18:2), C00422|TG(16:1/18:1/18:1), C00422|TG(18:2/18:2/18:2)	8	23	0.3478	3.95E-11	****
BAT	ko04977	Vitamin digestion and absorption	C00003|beta-nicotinamide adenine dinucleotide, C00120|5-(2-oxohexahydro-1H-thieno[3,4-d]imidazol-4-yl)pentanoic acid, C00422|TG(16:0/16:0/18:2), C00422|TG(18:0/18:2/18:2), C00422|TG(16:1/16:1/18:2), C00422|TG(16:1/18:2/18:2), C00422|TG(16:1/18:1/18:2), C00422|TG(16:1/18:1/18:1), C00422|TG(18:2/18:2/18:2)	9	39	0.2308	1.39E-10	****
BAT	ko04974	Protein digestion and absorption	C00388|Histamine, C00064|L-Glutamine, C00049|aspartate, C00148|proline, C00064|Glutamine, C01672|Cadaverine, C00064|glutamine, C00135|L-Histidine, C00049|L-Aspartic Acid	9	47	0.1915	8.37E-10	****
BAT	ko05230	Central carbon metabolism in cancer	C00064|L-Glutamine, C00049|aspartate, C00148|proline, C00064|Glutamine, C00064|glutamine, C00135|L-Histidine, C00049|L-Aspartic Acid, C00031|D-Glucose	8	37	0.2162	2.77E-09	****
BAT	ko00561	Glycerolipid metabolism	C00422|TG(16:0/16:0/18:2), C00093|sn-Glycerol 3-phosphate, C00422|TG(18:0/18:2/18:2), C00422|TG(16:1/16:1/18:2), C00422|TG(16:1/18:2/18:2), C00422|TG(16:1/18:1/18:2), C00422|TG(16:1/18:1/18:1), C00422|TG(18:2/18:2/18:2)	8	38	0.2105	3.49E-09	****
BAT	ko00250	Alanine, aspartate and glutamate metabolism	C00064|L-Glutamine, C00049|aspartate, C03406|Argininosuccinic acid, C00064|Glutamine, C00064|glutamine, C00049|L-Aspartic Acid	6	28	0.2143	3.23E-07	****
