id	Type	Change	Mean_Young	Mean_Aged	Aged_1	Aged_2	Aged_3	Aged_4	Aged_5	Aged_6	Aged_7	Aged_8	Aged_9	Aged_10	Young_1	Young_2	Young_3	Young_4	Young_5	Young_6	Young_7	Young_8	Young_9	Young_10
Caffeine metabolism	Amino acid metabolism	Downregulated	0.000047 	0.000023 	0.000024 	0.000031 	0.000000 	0.000027 	0.000033 	0.000000 	0.000023 	0.000009 	0.000083 	0.000004 	0.000054 	0.000063 	0.000062 	0.000040 	0.000024 	0.000055 	0.000024 	0.000045 	0.000050 	0.000051 
Lysine degradation	Amino acid metabolism	Downregulated	0.060404 	0.055976 	0.058157 	0.061316 	0.050992 	0.058913 	0.055810 	0.055718 	0.057578 	0.051937 	0.055225 	0.054111 	0.063385 	0.060740 	0.064685 	0.063790 	0.069362 	0.061559 	0.056368 	0.053702 	0.057535 	0.052918 
Tryptophan metabolism	Amino acid metabolism	Downregulated	0.052304 	0.044087 	0.044444 	0.050451 	0.035222 	0.046579 	0.051589 	0.042714 	0.044715 	0.038518 	0.046313 	0.040328 	0.055490 	0.057719 	0.055912 	0.054209 	0.057675 	0.053550 	0.052755 	0.042748 	0.047974 	0.045008 
Tyrosine metabolism	Amino acid metabolism	Downregulated	0.092382 	0.083035 	0.084926 	0.091189 	0.072521 	0.085407 	0.087614 	0.078798 	0.088187 	0.078533 	0.084595 	0.078583 	0.093315 	0.093795 	0.094150 	0.096397 	0.101405 	0.097835 	0.093690 	0.081185 	0.087914 	0.084136 
Cell cycle - Caulobacter	Cell cycle	upregulated	0.000094 	0.000282 	0.000169 	0.000197 	0.000422 	0.000151 	0.000105 	0.000392 	0.000113 	0.000375 	0.000129 	0.000765 	0.000120 	0.000040 	0.000098 	0.000137 	0.000105 	0.000083 	0.000064 	0.000099 	0.000085 	0.000110 
Photosynthesis	Energy metabolism	Downregulated	0.001895 	0.001201 	0.001880 	0.000990 	0.000651 	0.001191 	0.000744 	0.000759 	0.001624 	0.001523 	0.001536 	0.001109 	0.002630 	0.000988 	0.002804 	0.002574 	0.001450 	0.000661 	0.001633 	0.002621 	0.001419 	0.002166 
Biosynthesis of unsaturated fatty acids	Fatty acid metabolism	Downregulated	0.003509 	0.001495 	0.002138 	0.002627 	0.000354 	0.001660 	0.001345 	0.000592 	0.002637 	0.001768 	0.001505 	0.000320 	0.003555 	0.005247 	0.004575 	0.003706 	0.004751 	0.003508 	0.003664 	0.002302 	0.001659 	0.002123 
Fatty acid elongation	Fatty acid metabolism	upregulated	0.000126 	0.000556 	0.000481 	0.001128 	0.000188 	0.000502 	0.000725 	0.000341 	0.000503 	0.001028 	0.000446 	0.000220 	0.000144 	0.000171 	0.000090 	0.000111 	0.000055 	0.000175 	0.000268 	0.000094 	0.000087 	0.000066 
Basal transcription factors	Genetic information processing	upregulated	0.000323 	0.000764 	0.000278 	0.000796 	0.001133 	0.000580 	0.000263 	0.001282 	0.001565 	0.000349 	0.000390 	0.001003 	0.000169 	0.000224 	0.000187 	0.000345 	0.000396 	0.000661 	0.000241 	0.000253 	0.000450 	0.000300 
Glycosphingolipid biosynthesis - lacto and neolacto series	Glycan biosynthesis	upregulated	0.000005 	0.000039 	0.000038 	0.000021 	0.000020 	0.000015 	0.000064 	0.000004 	0.000022 	0.000000 	0.000058 	0.000147 	0.000000 	0.000001 	0.000000 	0.000000 	0.000016 	0.000013 	0.000000 	0.000000 	0.000013 	0.000001 
Pathogenic Escherichia coli infection	Infectious disease	Downregulated	0.000600 	0.000001 	0.000000 	0.000000 	0.000000 	0.000000 	0.000000 	0.000000 	0.000000 	0.000014 	0.000000 	0.000000 	0.000313 	0.000875 	0.000286 	0.001167 	0.001825 	0.000667 	0.000564 	0.000218 	0.000015 	0.000067 
Pertussis	Infectious disease	Downregulated	0.000266 	0.000004 	0.000004 	0.000000 	0.000005 	0.000008 	0.000000 	0.000004 	0.000010 	0.000003 	0.000000 	0.000005 	0.000184 	0.000418 	0.000131 	0.000556 	0.000731 	0.000279 	0.000221 	0.000093 	0.000019 	0.000030 
Arachidonic acid metabolism	Lipid metabolism	Downregulated	0.002395 	0.001219 	0.000823 	0.001938 	0.000429 	0.001211 	0.002522 	0.001033 	0.001638 	0.000171 	0.002041 	0.000387 	0.002645 	0.001787 	0.002172 	0.003642 	0.003822 	0.002174 	0.001512 	0.001130 	0.003370 	0.001699 
Steroid biosynthesis	Lipid metabolism	Downregulated	0.001826 	0.000696 	0.000124 	0.002113 	0.000066 	0.000650 	0.000885 	0.000203 	0.002019 	0.000296 	0.000392 	0.000212 	0.002109 	0.003040 	0.002734 	0.001066 	0.001634 	0.001672 	0.002225 	0.001243 	0.000884 	0.001655 
Carotenoid biosynthesis	Metabolism of terpenoids and polyketides	Downregulated	0.005105 	0.003512 	0.001991 	0.006382 	0.002623 	0.002857 	0.003436 	0.003044 	0.005838 	0.003747 	0.003132 	0.002074 	0.005830 	0.005982 	0.006487 	0.004203 	0.005419 	0.004304 	0.004965 	0.003816 	0.005244 	0.004799 
