Species	KEGG ontology	combined_score
Helicobacter_ganmani	3-hydroxyacyl-CoA dehydrogenase, FadB	0.598721366
Escherichia_sp._E2661	3-hydroxyacyl-CoA dehydrogenase, FadB	-0.611990181
Escherichia_sp._4_1_40B	3-hydroxyacyl-CoA dehydrogenase, FadB	-0.622384566
Escherichia_unclassified	3-hydroxyacyl-CoA dehydrogenase, FadB	-0.645355442
Helicobacter_sp._MIT_03-1616	3-hydroxyacyl-CoA dehydrogenase, FadB	0.666365673
Helicobacter_rodentium	3-hydroxyacyl-CoA dehydrogenase, FadB	0.730088105
Helicobacter_typhlonius	3-hydroxyacyl-CoA dehydrogenase, FadB	0.739686449
Helicobacter_apodemus	3-hydroxyacyl-CoA dehydrogenase, FadB	0.756509601
Helicobacter_hepaticus	3-hydroxyacyl-CoA dehydrogenase, FadB	0.777538208
Escherichia_unclassified	3-hydroxybutyryl-CoA dehydrogenase	-0.589473684
Escherichia_sp._E2661	3-hydroxybutyryl-CoA dehydrogenase	-0.592077701
Escherichia_sp._4_1_40B	3-hydroxybutyryl-CoA dehydrogenase	-0.628627309
Helicobacter_hepaticus	3-hydroxybutyryl-CoA dehydrogenase	0.681075467
Helicobacter_apodemus	3-hydroxybutyryl-CoA dehydrogenase	0.70612086
Helicobacter_rodentium	3-hydroxybutyryl-CoA dehydrogenase	0.710781724
Helicobacter_typhlonius	3-hydroxybutyryl-CoA dehydrogenase	0.72206612
Helicobacter_sp._MIT_03-1616	3-hydroxybutyryl-CoA dehydrogenase	0.747291823
Helicobacter_ganmani	3-hydroxybutyryl-CoA dehydrogenase	0.769924812
Escherichia_sp._E2661	acyl-CoA thioester hydrolase YciA	-0.216267012
Escherichia_sp._4_1_40B	acyl-CoA thioester hydrolase YciA	-0.233720366
Escherichia_unclassified	acyl-CoA thioester hydrolase YciA	-0.267870655
Helicobacter_sp._MIT_03-1616	acyl-CoA thioester hydrolase YciA	0.342053956
Helicobacter_typhlonius	acyl-CoA thioester hydrolase YciA	0.38575995
Helicobacter_ganmani	acyl-CoA thioester hydrolase YciA	0.387509515
Helicobacter_hepaticus	acyl-CoA thioester hydrolase YciA	0.43940346
Helicobacter_rodentium	acyl-CoA thioester hydrolase YciA	0.456331073
Helicobacter_apodemus	acyl-CoA thioester hydrolase YciA	0.457885864
Escherichia_sp._E2661	arylesterase	-0.460050726
