samples	spec_x	spec_y	env_x	env_y	groups
Aged_1	-0.068244338	-0.15328544	-0.083900284	-0.017044454	Aged
Aged_2	-0.178741153	-0.136536593	-0.188913899	-0.219054623	Aged
Aged_3	0.186791804	-0.134808466	0.204858121	-0.030915169	Aged
Aged_4	-0.229186643	-0.118957177	-0.268491337	-0.408238263	Aged
Aged_5	0.023729238	-0.091165163	0.004974345	0.026418533	Aged
Aged_6	0.271364348	-0.114333287	0.335048999	-0.210904591	Aged
Aged_7	-0.087363782	-0.143820603	-0.093017348	-0.060999944	Aged
Aged_8	0.016018765	-0.128069105	-0.056114684	0.02447691	Aged
Aged_9	-0.046865604	-0.148120071	-0.049875305	-0.030230605	Aged
Aged_10	0.089050569	-0.093072559	0.09763344	-0.008881934	Aged
Young_1	-0.075163888	0.178568297	-0.070035553	0.240384767	Young
Young_2	-0.000234036	0.075970998	-0.00348335	0.08456178	Young
Young_3	0.181645594	0.125121925	0.258848234	-0.043658541	Young
Young_4	-0.021393031	0.172115359	-0.031110418	0.335698991	Young
Young_5	-0.06975397	0.145762939	-0.093454863	0.053565533	Young
Young_6	0.002311331	0.168373115	-0.007325037	0.137101505	Young
Young_7	0.00715968	0.130841237	0.003568132	0.117520449	Young
Young_8	0.22471548	0.061630086	0.30043266	-0.087627101	Young
Young_9	-0.14167674	0.111068124	-0.156839723	-0.006506172	Young
Young_10	-0.084163624	0.092716383	-0.10280213	0.104332929	Young


