	Aged_1	Aged_2	Aged_3	Aged_4	Aged_5	Aged_6	Aged_7	Aged_8	Aged_9	Aged_10	Young_1	Young_2	Young_3	Young_4	Young_5	Young_6	Young_7	Young_8	Young_9	Young_10
Aged_1	0.00	0.38	0.27	0.16	0.39	0.22	0.28	0.20	0.24	0.21	0.25	0.39	0.27	0.24	0.26	0.24	0.40	0.26	0.24	0.23
Aged_2	0.38	0.00	0.49	0.29	0.28	0.37	0.25	0.35	0.27	0.43	0.36	0.27	0.34	0.37	0.32	0.31	0.24	0.40	0.40	0.29
Aged_3	0.27	0.49	0.00	0.34	0.57	0.21	0.33	0.28	0.41	0.14	0.31	0.53	0.37	0.28	0.38	0.36	0.55	0.21	0.29	0.34
Aged_4	0.16	0.29	0.34	0.00	0.28	0.21	0.26	0.19	0.15	0.27	0.25	0.28	0.24	0.22	0.22	0.19	0.29	0.28	0.24	0.17
Aged_5	0.39	0.28	0.57	0.28	0.00	0.41	0.40	0.39	0.20	0.50	0.42	0.22	0.38	0.40	0.33	0.31	0.15	0.48	0.40	0.31
Aged_6	0.22	0.37	0.21	0.21	0.41	0.00	0.26	0.22	0.25	0.18	0.28	0.39	0.30	0.24	0.28	0.26	0.40	0.26	0.27	0.24
Aged_7	0.28	0.25	0.33	0.26	0.40	0.26	0.00	0.27	0.28	0.30	0.27	0.36	0.27	0.25	0.31	0.28	0.37	0.28	0.32	0.24
Aged_8	0.20	0.35	0.28	0.19	0.39	0.22	0.27	0.00	0.26	0.24	0.29	0.36	0.28	0.26	0.28	0.27	0.37	0.27	0.29	0.21
Aged_9	0.24	0.27	0.41	0.15	0.20	0.25	0.28	0.26	0.00	0.34	0.28	0.25	0.26	0.25	0.23	0.22	0.25	0.33	0.27	0.19
Aged_10	0.21	0.43	0.14	0.27	0.50	0.18	0.30	0.24	0.34	0.00	0.28	0.46	0.32	0.25	0.31	0.29	0.48	0.22	0.25	0.28
Young_1	0.25	0.36	0.31	0.25	0.42	0.28	0.27	0.29	0.28	0.28	0.00	0.34	0.13	0.13	0.17	0.18	0.36	0.16	0.19	0.17
Young_2	0.39	0.27	0.53	0.28	0.22	0.39	0.36	0.36	0.25	0.46	0.34	0.00	0.29	0.34	0.25	0.24	0.10	0.41	0.38	0.24
Young_3	0.27	0.34	0.37	0.24	0.38	0.30	0.27	0.28	0.26	0.32	0.13	0.29	0.00	0.20	0.20	0.19	0.32	0.23	0.24	0.19
Young_4	0.24	0.37	0.28	0.22	0.40	0.24	0.25	0.26	0.25	0.25	0.13	0.34	0.20	0.00	0.16	0.18	0.36	0.16	0.19	0.15
Young_5	0.26	0.32	0.38	0.22	0.33	0.28	0.31	0.28	0.23	0.31	0.17	0.25	0.20	0.16	0.00	0.11	0.28	0.25	0.19	0.14
Young_6	0.24	0.31	0.36	0.19	0.31	0.26	0.28	0.27	0.22	0.29	0.18	0.24	0.19	0.18	0.11	0.00	0.26	0.23	0.17	0.14
Young_7	0.40	0.24	0.55	0.29	0.15	0.40	0.37	0.37	0.25	0.48	0.36	0.10	0.32	0.36	0.28	0.26	0.00	0.43	0.40	0.26
Young_8	0.26	0.40	0.21	0.28	0.48	0.26	0.28	0.27	0.33	0.22	0.16	0.41	0.23	0.16	0.25	0.23	0.43	0.00	0.20	0.21
Young_9	0.24	0.40	0.29	0.24	0.40	0.27	0.32	0.29	0.27	0.25	0.19	0.38	0.24	0.19	0.19	0.17	0.40	0.20	0.00	0.20
Young_10	0.23	0.29	0.34	0.17	0.31	0.24	0.24	0.21	0.19	0.28	0.17	0.24	0.19	0.15	0.14	0.14	0.26	0.21	0.20	0.00


