id	Aged_1	Aged_2	Aged_3	Aged_4	Aged_5	Aged_6	Aged_7	Aged_8	Aged_9	Aged_10	Young_1	Young_2	Young_3	Young_4	Young_5	Young_6	Young_7	Young_8	Young_9	Young_10	Mean_Aged	Mean_Young
Bacteroidota	44.81531	64.336707	29.881635	55.206032	79.583248	48.764363	46.000377	47.437582	64.168155	37.229562	42.530063	68.892941	45.456084	44.201562	52.497219	54.900681	73.969751	35.542509	48.88547	53.652208	51.7422971	52.0528488
Bacillota	44.095729	22.411678	62.984879	36.79346	13.431626	43.831051	38.93269	43.04194	29.660634	54.563059	40.869601	14.795424	34.441111	42.262394	30.332146	31.306137	13.618163	53.290875	42.218773	36.570777	38.9746746	33.9705401
Verrucomicrobiota	0.438648	6.695787	0.271561	2.132016	2.88616	0.752079	6.313581	1.128723	1.333845	0.041813	6.948254	9.957524	9.837241	3.701626	5.877893	6.015374	7.128264	4.612463	3.494652	5.431024	2.1994213	6.3004315
Uroviricota	1.845091	1.106812	1.633519	1.805971	1.737766	1.579545	1.124651	1.872377	1.751669	1.608295	1.73683	1.534623	1.610779	1.702793	1.700645	1.599961	1.431118	1.828882	1.842098	1.700656	1.6065696	1.6688385
Pseudomonadota	0.426892	0.395771	0.386353	0.406234	0.406089	0.396215	0.403888	0.536734	0.399884	0.384631	1.610834	3.263205	1.408553	5.214092	5.689247	2.538473	1.939938	1.043041	0.440244	0.566974	0.4142691	2.3714601
Thermodesulfobacteriota	1.401325	1.323783	0.586861	1.632789	0.217974	0.361381	1.948653	0.840917	1.067515	1.355046	1.466986	0.727372	2.587094	0.51269	0.847854	1.63262	0.168709	1.429302	1.536177	0.75922	1.0736244	1.1668024
Deferribacterota	1.611645	0.019923	1.018908	0.239815	0.096383	0.889821	0.483765	0.941701	0.042798	0.946862	3.4893	0.173703	3.489663	0.993806	1.890857	0.894576	0.10736	0.835248	0.404321	0.218006	0.6291621	1.249684
Campylobacterota	3.884572	0.420007	2.210339	0.437645	0.276337	2.209965	2.658668	1.960804	0.195622	2.626053	0.089958	0.017598	0.080802	0.049707	0.055999	0.034655	0.014572	0.043757	0.032216	0.02729	1.6880012	0.0446554
p_Actinomycetota	0.702897	2.791627	0.290147	0.631158	0.924164	0.308703	1.417391	1.642612	0.721519	0.359118	0.306737	0.307061	0.268343	0.407634	0.234691	0.489843	1.116847	0.317651	0.238107	0.367843	0.9789336	0.4054757
Candidatus_Melainabacteria	0.235681	0.125402	0.034403	0.129597	0.076077	0.032971	0.250735	0.126525	0.153738	0.053184	0.242573	0.055718	0.25412	0.280848	0.206766	0.069703	0.126212	0.185485	0.206595	0.184941	0.1218313	0.1812961
Mycoplasmatota	0.099041	0.102583	0.188184	0.162671	0.111493	0.4163	0.090768	0.056977	0.118652	0.304351	0.105389	0.026891	0.096016	0.105467	0.189295	0.114233	0.054812	0.184537	0.230012	0.069564	0.165102	0.1176216
Spirochaetota	0.122247	0.076646	0.124857	0.106394	0.070614	0.105462	0.106175	0.120026	0.097798	0.109061	0.125712	0.070018	0.119106	0.122679	0.099412	0.09603	0.079357	0.126148	0.10881	0.101326	0.103928	0.1048598
Fusobacteriota	0.051246	0.030733	0.042516	0.049169	0.030876	0.030801	0.041132	0.035059	0.055511	0.038186	0.109895	0.044288	0.09999	0.105588	0.037982	0.031812	0.063112	0.11893	0.044339	0.108426	0.0405229	0.0764362
Candidatus_Saccharibacteria	0.021731	0.023644	0.093475	0.044381	0.017633	0.082555	0.040944	0.044452	0.017401	0.127895	0.071281	0.005385	0.008313	0.044243	0.070478	0.053193	0.039703	0.175616	0.02581	0.021124	0.0514111	0.0515146
Synergistota	0.030708	0.014109	0.027396	0.026816	0.007848	0.0213	0.023951	0.023489	0.018966	0.030258	0.027389	0.007751	0.031481	0.020769	0.022421	0.026273	0.005935	0.027884	0.032153	0.017238	0.0224841	0.0219294
Chloroflexota	0.019095	0.013476	0.027849	0.01911	0.006297	0.022137	0.02001	0.014883	0.015182	0.028662	0.022349	0.007773	0.017267	0.024093	0.019292	0.020869	0.007891	0.028984	0.027626	0.018033	0.0186701	0.0194177
Euryarchaeota	0.019289	0.010022	0.02276	0.018472	0.013515	0.022147	0.012164	0.015186	0.017379	0.021604	0.023454	0.015534	0.021704	0.021394	0.028399	0.019965	0.012748	0.022065	0.022407	0.019753	0.0172538	0.0207423
Fibrobacterota	0.014151	0.017453	0.016251	0.01431	0.010501	0.015602	0.021105	0.014232	0.015797	0.015826	0.020053	0.010482	0.017947	0.021777	0.018436	0.017788	0.011248	0.022066	0.024726	0.016693	0.0155228	0.0181216
Hofneiviricota	0.014755	0.004906	0.024024	0.012062	0.005465	0.021699	0.005394	0.01792	0.00891	0.021168	0.017115	0.004861	0.011847	0.023547	0.025866	0.020579	0.004923	0.019352	0.030388	0.02094	0.0136303	0.0179418
Cyanobacteriota	0.016112	0.010053	0.013992	0.013901	0.011689	0.010064	0.013393	0.020183	0.013607	0.015515	0.021299	0.012766	0.02323	0.016827	0.01372	0.013713	0.015162	0.018951	0.012347	0.015744	0.0138509	0.0163759
Others	0.133835	0.068882	0.12009	0.117996	0.078246	0.125841	0.090564	0.107679	0.125417	0.11985	0.164929	0.069082	0.11931	0.166463	0.141383	0.103522	0.084178	0.126253	0.142729	0.112219	0.10884	0.1230068


