Proteomic Module	Metabolomic Module	rho	palue	relation
PM12	MM7	0.605979925	0	positive
PM21	MM7	0.543368884	0	positive
PM20	MM5	0.537603576	0	positive
PM11	MM6	0.537421353	0	positive
PM4	MM5	0.524944194	0	positive
PM10	MM4	0.507600184	0	positive
PM18	MM5	0.481550002	4.73202E-11	positive
PM10	MM14	0.47483309	1.08149E-10	positive
PM10	MM11	0.467513831	2.43647E-10	positive
PM24	MM4	0.461723215	4.44737E-10	positive
PM1	MM5	0.458597598	6.08666E-10	positive
PM3	MM5	0.453396672	1.01186E-09	positive
PM19	MM4	0.447127723	1.83163E-09	positive
PM14	MM10	0.442430439	2.82412E-09	positive
PM2	MM7	0.416152479	2.75951E-08	positive
PM19	MM6	0.416063899	2.77982E-08	positive
PM4	MM13	0.410121431	4.52381E-08	positive
PM5	MM5	0.401083716	9.32037E-08	positive
PM6	MM4	0.393554396	1.67545E-07	positive
PM5	MM7	0.381914953	4.03741E-07	positive
PM22	MM8	0.381274644	4.23361E-07	positive
PM7	MM5	0.374362855	7.02289E-07	positive
PM12	MM5	0.356735388	2.43031E-06	positive
PM22	MM3	0.347634402	4.49031E-06	positive
PM22	MM9	0.336182242	9.4778E-06	positive
PM4	MM8	0.335367304	9.98461E-06	positive
PM14	MM1	0.334845946	1.03222E-05	positive
PM1	MM13	0.32586138	1.81445E-05	positive
PM13	MM5	0.322917985	2.17476E-05	positive
PM14	MM14	0.321999281	2.30041E-05	positive
PM9	MM7	0.320356751	2.54232E-05	positive
PM10	MM1	0.31965064	2.65353E-05	positive
PM2	MM10	0.319455763	2.68502E-05	positive
PM15	MM11	0.315259591	3.45509E-05	positive
PM11	MM12	0.314075146	3.70756E-05	positive
PM20	MM7	0.313784097	3.7722E-05	positive
PM8	MM6	0.312417431	4.09023E-05	positive
PM6	MM10	0.307292431	5.52216E-05	positive
PM20	MM2	0.305579036	6.0979E-05	positive
PM11	MM5	0.300737494	8.04471E-05	positive
PM24	MM6	0.292064223	0.000130628	positive
PM20	MM13	0.290105335	0.000145445	positive
PM16	MM5	0.284674101	0.000195154	positive
PM5	MM2	0.283947743	0.000202892	positive
PM19	MM11	0.280070459	0.000249269	positive
