id	BAT_Old_1	BAT_Old_2	BAT_Old_3	BAT_Old_4	BAT_Young_1	BAT_Young_2	BAT_Young_3	BAT_Young_4	Beige fat_Old_1	Beige fat_Old_2	Beige fat_Old_3	Beige fat_Old_4	Beige fat_Young_1	Beige fat_Young_2	Beige fat_Young_3	Beige fat_Young_4	Bladder_Old_1	Bladder_Old_2	Bladder_Old_3	Bladder_Old_4	Bladder_Young_1	Bladder_Young_2	Bladder_Young_3	Bladder_Young_4	Bone_Old_1	Bone_Old_2	Bone_Old_3	Bone_Old_4	Bone_Young_1	Bone_Young_2	Bone_Young_3	Bone_Young_4	Brain_Old_1	Brain_Old_2	Brain_Old_3	Brain_Old_4	Brain_Young_1	Brain_Young_2	Brain_Young_3	Brain_Young_4	Cerebellum_Old_1	Cerebellum_Old_2	Cerebellum_Old_3	Cerebellum_Old_4	Cerebellum_Young_1	Cerebellum_Young_2	Cerebellum_Young_3	Cerebellum_Young_4	Colon_Old_1	Colon_Old_2	Colon_Old_3	Colon_Old_4	Colon_Young_1	Colon_Young_2	Colon_Young_3	Colon_Young_4	Eye_Old_1	Eye_Old_2	Eye_Old_3	Eye_Old_4	Eye_Young_1	Eye_Young_2	Eye_Young_3	Eye_Young_4	Heart_Old_1	Heart_Old_2	Heart_Old_3	Heart_Old_4	Heart_Young_1	Heart_Young_2	Heart_Young_3	Heart_Young_4	Kidney_Old_1	Kidney_Old_2	Kidney_Old_3	Kidney_Old_4	Kidney_Young_1	Kidney_Young_2	Kidney_Young_3	Kidney_Young_4	Liver_Old_1	Liver_Old_2	Liver_Old_3	Liver_Old_4	Liver_Young_1	Liver_Young_2	Liver_Young_3	Liver_Young_4	Lung_Old_1	Lung_Old_2	Lung_Old_3	Lung_Old_4	Lung_Young_1	Lung_Young_2	Lung_Young_3	Lung_Young_4	Muscle_Old_1	Muscle_Old_2	Muscle_Old_3	Muscle_Old_4	Muscle_Young_1	Muscle_Young_2	Muscle_Young_3	Muscle_Young_4	Pancrea_Old_1	Pancrea_Old_2	Pancrea_Old_3	Pancrea_Old_4	Pancrea_Young_1	Pancrea_Young_2	Pancrea_Young_3	Pancrea_Young_4	Skin_Old_1	Skin_Old_2	Skin_Old_3	Skin_Old_4	Skin_Young_1	Skin_Young_2	Skin_Young_3	Skin_Young_4	Small intestine_Old_1	Small intestine_Old_2	Small intestine_Old_3	Small intestine_Old_4	Small intestine_Young_1	Small intestine_Young_2	Small intestine_Young_3	Small intestine_Young_4	Spinal cord_Old_1	Spinal cord_Old_2	Spinal cord_Old_3	Spinal cord_Old_4	Spinal cord_Young_1	Spinal cord_Young_2	Spinal cord_Young_3	Spinal cord_Young_4	Spleen_Old_1	Spleen_Old_2	Spleen_Old_3	Spleen_Old_4	Spleen_Young_1	Spleen_Young_2	Spleen_Young_3	Spleen_Young_4	Testis_Old_1	Testis_Old_2	Testis_Old_3	Testis_Old_4	Testis_Young_1	Testis_Young_2	Testis_Young_3	Testis_Young_4	Thymus_Old_1	Thymus_Old_2	Thymus_Old_3	Thymus_Old_4	Thymus_Young_1	Thymus_Young_2	Thymus_Young_3	Thymus_Young_4	WAT_Old_1	WAT_Old_2	WAT_Old_3	WAT_Old_4	WAT_Young_1	WAT_Young_2	WAT_Young_3	WAT_Young_4
MM8	-0.021382565	-0.022181641	-0.022462591	-0.018343663	-0.01924567	-0.017437504	-0.017711303	-0.016896923	-0.023856228	-0.028616487	-0.02290993	-0.022247538	-0.021923182	-0.023619484	-0.024537017	-0.024897566	-0.032836228	-0.029154379	-0.03056007	-0.028987795	-0.026048079	-0.027797114	-0.021780723	-0.019863343	-0.043854366	-0.042101501	-0.042058902	-0.043247146	-0.043804185	-0.042807038	-0.042853944	-0.044049881	-0.003605911	-0.013281444	-0.007142328	-0.010441083	0.011568052	-0.005032159	-0.011162733	-0.011211131	-0.034694656	-0.034095967	-0.033955815	-0.030805089	-0.031118309	-0.03181746	-0.031795149	-0.033741116	-0.012785449	-0.001313987	-0.002557452	0.002850489	-0.004577007	-0.010206932	-0.010372211	0.005324604	-0.030432521	-0.022044451	-0.018605826	-0.024511108	-0.013855343	-0.027661792	-0.025625641	-0.02669629	-0.000393655	-0.002349493	0.005693217	0.008042443	0.004440385	-0.003980434	-0.007225972	-0.009698861	-0.005658533	0.002251207	0.01302022	-0.007857201	0.015019918	0.007378421	0.016899982	0.012407126	-0.007691982	-0.01064524	-0.000446042	0.021206847	-0.009903604	-0.009831726	-0.00693689	-0.002709415	0.035595526	0.006606807	0.016771599	0.024980957	-0.003056313	0.029465267	0.006888182	0.002971199	-0.015973907	-0.002880062	0.005641601	-0.004992131	-0.01091051	-0.013745512	-0.013689601	-0.007940881	0.303979789	0.299260725	0.220725288	0.244194882	0.470017139	0.352478154	0.286097082	0.443094622	-0.028544207	-0.032888651	-0.030278689	-0.032784976	-0.023674024	-0.031105531	-0.030637717	-0.03076676	-0.026112083	-0.03178375	-0.032164272	-0.03073509	-0.026276958	-0.025138582	-0.021090674	-0.025050051	-0.022071409	-0.021533795	-0.022589621	-0.021052997	-0.02475748	-0.026703577	-0.027385155	-0.027094057	-0.007149667	-0.004082227	0.021339999	0.012729925	0.005392714	0.014337878	-0.000468053	-0.003459527	-0.029091535	-0.028006765	-0.024598248	-0.028545473	-0.035079404	-0.028815376	-0.031307507	-0.030999112	-0.020384176	-0.026712985	-0.024376173	-0.026664008	-0.012935592	-0.01588013	-0.015810966	-0.010552698	-0.033574216	-0.034749728	-0.029671253	-0.035199378	-0.023480213	-0.03054957	-0.033222617	-0.027347227
MM3	-0.027311293	-0.022907812	-0.026477425	-0.02150333	-0.026617564	-0.031481513	-0.030621348	-0.03017418	-0.028375292	-0.029582191	-0.026218551	-0.016203358	-0.028264868	-0.032316827	-0.022326161	-0.029055889	-0.029499202	-0.027463929	-0.027072969	-0.031692746	-0.021534434	-0.014175032	-0.021257785	-0.021921409	-0.029555276	-0.02893933	-0.027767082	-0.031768565	-0.033370642	-0.02170758	-0.027534233	-0.030645423	-0.014052256	-0.023779777	-0.015126902	-0.012560756	-0.002683499	-0.009961869	-0.012699122	-0.012985487	-0.027020935	-0.026505397	-0.024350655	-0.026794097	-0.02454133	-0.027822181	-0.026708232	-0.026307495	-0.030852703	-0.027014464	-0.027603069	-0.025049235	-0.025073375	-0.0296727	-0.033762801	-0.018322333	-0.023937598	-0.02691794	-0.026514245	-0.017509969	-0.022992496	-0.023568463	-0.022616935	-0.026658055	0.026995016	0.038317985	0.020717745	0.023742847	0.024834454	0.023145536	0.020749423	0.020602471	-0.022532632	-0.021416776	-0.016036383	-0.021909261	-0.020580729	-0.018852119	-0.019673846	-0.01519697	0.012949929	-0.016342255	-0.016996738	-0.006752192	-0.006973902	-0.008331412	-3.73E-05	-0.002475004	0.018425059	-0.010355839	0.006453598	0.009706051	-0.014979657	0.009446151	-0.008913337	-0.014106141	0.332981574	0.345378443	0.430226976	0.311557095	0.319092793	0.264152623	0.293307808	0.381148217	-0.009876873	-0.01219191	-0.007567375	0.007149323	-0.005169707	-0.003508217	0.000999383	-0.001420179	-0.015121564	-0.020520374	-0.017338392	-0.024046512	-0.010971589	-0.017513058	-0.014012706	-0.013846787	-0.026027226	-0.03271757	-0.028550959	-0.03215519	-0.031236748	-0.03092458	-0.025639057	-0.031697191	-0.030274227	-0.027250263	-0.030608156	-0.028439977	-0.028264476	-0.02295088	-0.026917027	-0.028102519	-0.00640281	0.012380879	0.027580944	0.026205137	0.011464014	0.013025618	0.016350642	0.003764406	-0.034693304	-0.031735132	-0.02927506	-0.031496245	-0.030008739	-0.031320375	-0.030893131	-0.029651076	-0.024139127	-0.014233424	-0.017200084	-0.022060676	-0.010422142	-0.016059694	-0.020410616	-0.011093695	-0.019679089	-0.021599416	-0.027244167	-0.019591066	-0.027959007	-0.023675173	-0.022437453	-0.024938051
MM4	0.008785834	0.001659852	-0.001899099	0.009462985	0.011603259	0.008688962	0.008139494	0.00563988	-0.008575529	-0.013571894	-0.003921701	-7.29E-05	-0.011152416	-0.02007031	-0.024280592	-0.019774745	0.014246283	0.006234095	0.009631507	0.036232062	0.006718633	0.005958081	0.01178168	0.007890762	-0.023340479	0.002165173	-0.004902144	-0.00914511	-0.014171721	-0.01927612	-0.020440426	-0.012223904	-0.041449632	-0.040972741	-0.040117686	-0.041110751	-0.04243857	-0.040386726	-0.04039272	-0.039333449	-0.021489324	-0.023713662	-0.020365747	-0.02364937	-0.023651911	-0.023817606	-0.026080634	-0.023738948	-0.030379571	-0.03466349	-0.03100085	-0.03446154	-0.030695275	-0.037618901	-0.042634732	-0.033832483	0.000454725	0.028225053	0.031941018	0.006732468	0.01963249	-0.013390918	-0.010681321	-0.013387818	-0.02517321	-0.023366065	-0.025872313	-0.024602488	-0.026471965	-0.018292868	-0.02105909	-0.022295989	-0.009486116	-0.016184644	-0.023748327	-0.015143931	-0.013636263	-0.020620016	-0.014931117	-0.008559399	-0.024774635	-0.030560265	-0.02693661	-0.033733322	-0.016666545	-0.024310743	-0.026045679	-0.014978308	-0.015028475	-0.022244368	-0.012504536	-0.020179684	-0.020209477	-0.014433206	-0.026351894	-0.026134448	-0.02063775	-0.015008533	-0.020211084	-0.022647438	-0.022406611	-0.028249498	-0.025876284	-0.019241649	-0.045915459	-0.047214218	-0.04699271	-0.046871699	-0.043039641	-0.0447569	-0.045531847	-0.044317008	0.331185239	0.318212329	0.365204745	0.301076849	0.393683925	0.279622643	0.35922347	0.33830525	-0.035171287	-0.022348249	-0.027776592	-0.030045883	-0.028947368	-0.033281632	-0.029220472	-0.028986049	-0.003467479	-0.007882588	-0.005877975	-0.016018662	-0.01691077	-0.016936633	-0.018541168	-0.015790497	-0.027965984	-0.025166933	-0.021009253	-0.023444326	-0.023398566	-0.024432532	-0.02642238	-0.028603164	0.007631324	-0.006833735	-0.001406781	0.00106078	-0.020436442	-0.007077727	-0.001626646	-0.00274721	-0.001603894	-0.000732334	-0.010197716	-0.014321215	-0.013860644	-0.010536667	-0.014560241	-0.009145549	0.027729835	-0.010139278	-0.011314574	-0.003485069	-0.011469393	-0.009544476	-0.009798648	-0.020546256
MM6	0.010223324	0.008452239	0.007413047	0.036908479	0.005587685	0.00387674	0.006607666	-0.006388309	0.137733329	0.119448365	0.210068922	0.201745752	0.0674842	0.076965269	0.099511527	0.106642993	0.001153334	-0.015822494	-0.015978896	-0.00905493	-0.009929986	0.00254942	-0.01019489	-0.020727163	-0.042913321	-0.040061593	-0.043439531	-0.045868322	-0.047907233	-0.0443935	-0.046937364	-0.047671934	-0.040773657	-0.042003077	-0.040004938	-0.043319017	-0.038018236	-0.041488591	-0.041261725	-0.040731088	-0.022698082	-0.023595856	-0.023714652	-0.027327913	-0.026062852	-0.028101339	-0.02616068	-0.021229589	-0.03766618	-0.039456862	-0.039949649	-0.03898449	-0.040172005	-0.04476338	-0.045509803	-0.040117786	-0.016995529	-0.031394445	-0.033815175	-0.022507332	-0.042326608	-0.036468934	-0.035676091	-0.037823013	-0.012553556	-0.009662596	-0.024032867	-0.020994056	-0.01964592	-0.021262766	-0.009678133	-0.012555611	0.010208193	0.004155988	-0.017681282	-0.023303571	-0.011162942	-0.011408722	-0.015297332	-0.015286147	-0.007771512	-0.02348243	-0.023145078	-0.02369863	-0.027180265	-0.03105527	-0.018061605	-0.02081307	-0.010286143	-0.030303802	-0.018164212	-0.020934069	-0.031726489	-0.00556138	-0.032767271	-0.031349792	0.003980118	-0.00880329	-0.014794602	-0.028265942	-0.023003944	-0.016633208	-0.024341186	-0.02160503	-0.040020695	-0.042934217	-0.038732127	-0.03971252	-0.035685613	-0.038690458	-0.043338267	-0.043570442	-0.008966099	-0.012104366	-0.012990956	-0.018697128	-0.005647613	-0.018175004	-0.010236789	-0.009264813	-0.030452541	-0.044944424	-0.044248953	-0.041736989	-0.041943746	-0.039602412	-0.041696791	-0.04303415	-0.022845999	-0.024736858	-0.027068121	-0.028410358	-0.026522034	-0.018737258	-0.02804781	-0.022611987	-0.024139173	-0.021082712	-0.015303196	-0.011991166	-0.007863787	-0.020420062	-0.020064188	-0.027555125	-0.022983922	-0.025960688	-0.030427264	-0.028953497	-0.035441777	-0.000729009	-0.014877845	-0.026024161	0.025184556	0.045261247	0.047294204	0.02450635	0.001290934	0.003825321	0.001992155	0.008163262	0.426083192	0.304347297	0.31942896	0.361824927	0.0774499	0.320699001	0.270322553	0.19651642
MM12	-0.011520456	-0.016371937	-0.016832951	-0.007092457	-0.014497947	-0.017687035	-0.011350386	-0.01479608	-0.034962347	-0.0333827	-0.032808984	-0.029191871	-0.03350902	-0.033463738	-0.031809394	-0.036154575	-0.020117291	-0.016015191	-0.004872015	0.006590185	0.000372366	-0.009002153	-0.004682841	-0.006720598	-0.03707222	-0.036280205	-0.031903217	-0.025981564	-0.034615617	-0.035928102	-0.035867741	-0.038400213	-0.013091141	-0.012355591	-0.012427759	-0.011331146	-0.00167172	-0.004018381	-0.002871167	-0.005532538	-0.029628741	-0.028135043	-0.02637853	-0.028336056	-0.02648189	-0.022110687	-0.028680622	-0.025875719	-0.036462344	-0.034800865	-0.036138516	-0.032759566	-0.027329167	-0.030835298	-0.035710288	-0.021741825	-0.011600406	-0.014566803	-0.012759388	-0.007758032	0.016740164	-0.009706859	-0.000723255	-0.007379097	-0.029558584	-0.029341352	-0.023775891	-0.026575858	-0.029895776	-0.025507663	-0.027390155	-0.027360548	0.034040036	0.028350848	0.028713291	0.034065239	0.050331877	0.030777136	0.03331918	0.05677367	0.328626507	0.301394686	0.348981535	0.326466566	0.389216384	0.274568086	0.348914166	0.363129924	-0.000329005	-0.005482767	-0.009154253	-0.005270565	-0.007450898	-0.012197378	-0.017324753	-0.013700577	-0.015085096	-0.012444386	-0.009661337	-0.006114715	-0.017598269	-0.015751929	-0.017849203	-0.016190156	-0.035670206	-0.039763694	-0.036094522	-0.034191471	-0.029717708	-0.024589157	-0.038719071	-0.032515971	-0.02674703	-0.031582046	-0.026822493	-0.028295707	-0.025142402	-0.028117311	-0.028728926	-0.019990252	-0.026930405	-0.029896513	-0.02876888	-0.030405544	-0.029379191	-0.031060581	-0.034980365	-0.030304512	-0.027825392	-0.027520277	-0.0233381	-0.022977217	-0.026995192	-0.026849041	-0.028177314	-0.025757771	-0.00892244	-0.006375848	0.006797674	0.003059616	0.006059197	0.002435494	0.000520272	-0.00207769	-0.009690933	-0.018318076	-0.017943854	-0.018928889	-0.029838803	-0.022740959	-0.020393705	-0.021071688	-0.023386617	-0.021753731	-0.020092024	-0.021113127	-0.008693444	-0.005655744	-0.016336781	-0.009395089	-0.016371234	-0.015672675	0.005828741	9.70E-05	-0.018612294	-0.007586619	0.000265051	-0.014507987
MM1	0.019800916	0.014505455	0.003470001	0.028232945	0.065662458	0.021017333	0.01123912	0.017001023	0.003624656	-0.008869777	0.006604034	-0.011339582	0.010429997	-0.000394652	0.008088186	0.006618462	-0.062833717	-0.063265134	-0.068520235	-0.081694772	-0.056330476	-0.062814371	-0.070959151	-0.054874097	-0.028388144	-0.02146159	-0.016735408	-0.020250652	-0.025857128	-0.016557455	-0.023068457	-0.028881588	-0.003985023	-0.005361057	-0.000351428	-0.004458745	0.006078188	0.009180354	0.010312704	0.004555313	-0.007216564	-0.002697396	0.001912894	-0.012318789	-0.000704072	-0.000693366	-0.001667194	0.007655641	-0.031799294	-0.029191384	-0.025839473	-0.027255009	-0.035704138	-0.030175559	-0.037784	-0.029603366	-0.017597959	-0.012611396	-0.007104103	-0.014323034	-0.00033292	-0.017906925	-0.017413525	-0.023180892	-0.014106921	-0.013201055	-0.011958364	-0.026621646	-0.015145057	-0.016017294	-0.01409663	-0.020225045	0.024251046	0.011317916	-0.007914248	0.019113697	0.037476491	0.025468992	0.021761028	0.040940648	-0.021584984	0.001376244	-0.01527379	-0.021348503	-0.008404246	-0.014430717	-0.020017286	-0.00970139	0.065144662	0.045014988	0.059683658	0.057796913	0.052003183	0.06570332	0.050235492	0.049126306	-0.035052556	-0.036747375	-0.032218123	-0.036795295	-0.035461108	-0.037711614	-0.037341119	-0.034039355	-0.040098591	-0.034653786	-0.039494977	-0.040397442	-0.038876877	-0.039331078	-0.040453898	-0.037067004	-0.020346585	-0.018595665	-0.017787848	-0.022828218	-0.020041474	-0.027346546	-0.027430668	-0.02456676	-0.037869708	-0.040067428	-0.041665849	-0.043961233	-0.03689394	-0.040115753	-0.026839025	-0.037802453	-0.007709103	-0.011975493	-0.008211286	-0.012105925	-0.014705004	-0.014190575	-0.021717658	-0.017158616	0.238009087	0.233285142	0.354957572	0.340148788	0.34192316	0.394008366	0.352808102	0.267877312	-0.007403007	-0.006735161	-0.001132065	-0.00016006	-0.011177535	-0.014700492	-0.015073956	-0.006113872	-0.073734236	-0.061929596	-0.071814627	-0.07015288	-0.070437376	-0.069265564	-0.08050354	-0.081368271	-0.026155415	-0.022117569	-0.027469345	-0.03017482	-0.026593687	-0.024951083	-0.021111912	-0.027052541
MM10	-0.026518467	-0.031096828	-0.028662939	-0.019002064	-0.02513166	-0.031553226	-0.028486564	-0.032717375	-0.025404993	-0.032498221	-0.035799514	-0.029905513	-0.027394844	-0.03494002	-0.041155652	-0.038208621	-0.001005015	0.006817466	0.001778268	0.003840635	0.001235618	0.000837901	0.007400212	0.007079144	-0.042107153	-0.036120057	-0.040192737	-0.040872957	-0.040872551	-0.040293173	-0.04307798	-0.043786737	-0.015608986	-0.025976459	-0.023736973	-0.012622781	-0.013591126	-0.018093953	-0.015457313	-0.013884502	0.087958769	0.082631846	0.08808524	0.085541358	0.08270046	0.081128672	0.074974505	0.110589218	-0.04010041	-0.02961097	-0.036184896	-0.040050247	-0.039446256	-0.043713134	-0.047919936	-0.032900948	-0.015354119	-0.016685542	-0.012977597	-0.015916944	-0.018376252	-0.022545535	-0.026664818	-0.026960766	-0.0190376	-0.023573893	-0.027041968	-0.020411183	-0.021204184	-0.026352764	-0.022499271	-0.022570003	-0.021547333	-0.016372843	-0.02571038	-0.011242946	-0.019820227	-0.019495106	-0.022157115	-0.020032827	-0.032832193	-0.030716002	-0.030727044	-0.035558597	-0.02799259	-0.036213728	-0.032867858	-0.031714196	-0.022464121	-0.033541442	-0.027101663	-0.015469204	-0.033029139	-0.018250042	-0.033537342	-0.035079469	0.00202126	0.008827023	0.003769549	-0.003245274	-0.003200289	-0.007441602	-0.007110396	0.00518628	-0.042028783	-0.047370099	-0.043117543	-0.042097702	-0.041925123	-0.043329451	-0.044238601	-0.039177234	-0.015673338	-0.021362165	-0.01388938	-0.019429891	-0.020082007	-0.020383952	-0.016843279	-0.020239686	0.001450568	-0.014765157	0.002257974	-0.007352679	-0.001958048	-0.019630527	-0.012197124	0.01916729	0.366243208	0.339257788	0.336086634	0.336966047	0.295657252	0.313322921	0.293333858	0.292405362	-0.027758975	-0.023585415	-0.024607465	-0.023733355	-0.023846159	-0.021182157	-0.023944122	-0.024769842	-0.024166515	-0.022445476	-0.024558933	-0.028568083	-0.038871482	-0.028337301	-0.028739819	-0.026239632	0.011408463	0.012557141	0.027568032	0.019175033	0.010028016	-0.000195957	-0.00508659	0.002557099	-0.007772759	-0.02676494	-0.035399232	-0.028930093	-0.011732154	-0.02707955	-0.027002491	-0.03108868
MM9	-0.005607377	-0.008187221	-0.011596186	0.006858763	0.041612324	-0.007823963	0.000643475	-0.002588024	-0.030292488	-0.032754665	-0.027465641	-0.023912602	-0.027196953	-0.030429491	-0.031059472	-0.029290114	-0.033040983	-0.03374994	-0.023069996	-0.028176513	-0.024196078	-0.023604921	-0.030039225	-0.023520481	-0.032413741	-0.01765118	-0.008453786	-0.013653724	-0.021204841	-0.026206162	-0.031280327	-0.025700965	-0.027200441	-0.029707661	-0.02493328	-0.019764486	-0.024745361	-0.02701667	-0.02566042	-0.024520141	-0.028292167	-0.026780427	-0.026974473	-0.030707481	-0.030658855	-0.022123817	-0.034743537	-0.035644184	-0.0279516	-0.028921675	-0.027212277	-0.02798768	-0.027481894	-0.035035287	-0.038206732	-0.020259616	-0.008596834	0.000302676	0.003405672	0.002132234	0.013593248	-0.012190708	-0.013284531	-0.017258113	0.339340979	0.354535294	0.334698764	0.357088103	0.343922915	0.317239885	0.325168842	0.342628009	-0.002825494	-0.007265978	-0.026943589	-0.009492772	-0.008770592	-0.006568799	-0.009056508	0.003377004	0.008915797	-0.010085007	-0.00227828	0.015693098	-7.93E-05	0.014161672	0.017900614	0.023023858	-0.005157852	-0.024619466	-0.010749628	-0.004634248	-0.019624231	0.004799932	-0.026313806	-0.029321228	-0.017864877	-0.012441739	-0.028900771	0.008683219	-0.008590241	-0.023508319	-0.011703109	0.005423513	-0.032525372	-0.031224293	-0.025059691	-0.031295179	-0.023420721	-0.024127323	-0.027789887	-0.029926952	-0.007823757	-0.007720579	0.003253558	-0.013266722	0.002907541	-0.014899808	-0.004569592	-0.00023223	-0.034417092	-0.032753658	-0.034591249	-0.03093479	-0.034569794	-0.030186417	-0.038373088	-0.034162606	-0.019372639	-0.020433559	-0.01950178	-0.020836412	-0.019714823	-0.01639954	-0.023527291	-0.026295541	-0.028793667	-0.024298889	-0.022495918	-0.019732064	-0.022541151	-0.021804253	-0.018234833	-0.026639458	-0.005013461	-0.00444491	0.005406667	-0.001620109	-0.012287493	0.000746188	0.003712252	0.001746574	-0.024635655	-0.019037554	-0.016885739	-0.021311373	-0.01150203	-0.005374228	-0.009654106	-0.001426221	-0.019747551	-0.026695677	-0.025567093	-0.028252881	-0.014589862	-0.022450281	-0.019626365	-0.023484198
MM11	-0.027523858	-0.023781899	-0.028286047	-0.01835781	-0.028715877	-0.035886687	-0.031741513	-0.031106954	-0.019169061	-0.024098503	-0.018429717	-0.026972452	-0.020059154	-0.020970839	-0.021255934	-0.015053394	-0.014999588	-0.01327667	-0.016133655	-0.011374259	-0.003920652	-0.011800127	-0.012122923	-0.01764396	-0.003255399	0.011706456	0.012500063	0.003536071	0.002928167	0.009471439	0.002982079	-0.001201399	-0.028873763	-0.029900211	-0.036815633	-0.028991236	-0.032000846	-0.027370721	-0.029205462	-0.034489286	-0.024707917	-0.024107706	-0.021630543	-0.027606177	-0.022386315	-0.019596195	-0.026953809	-0.021304995	-0.024866792	-0.026425486	-0.021834157	-0.022983587	-0.021843365	-0.031870111	-0.030036789	-0.023918058	-0.002599698	-0.009239174	-0.009355367	-0.010166825	-0.010645621	-0.019739041	-0.014441387	-0.016557904	-0.028912258	-0.022926872	-0.02462095	-0.026730442	-0.027506186	-0.023531542	-0.021762958	-0.020718987	0.006274428	0.00231224	-0.02375215	-0.0030167	0.003980251	0.00954272	-0.008877082	-0.006556772	-0.021454473	-0.027369629	-0.027341066	-0.028194249	-0.006681136	-0.027056407	-0.018776311	-0.00885963	-0.006805458	-0.004686451	-0.011237614	-0.001639027	-0.009446251	-0.002361458	-0.011714825	-0.013043199	0.007842243	-0.01220072	-0.012689693	-0.01720607	-0.016120042	-0.010459052	-0.023467383	-0.021027162	-0.03445458	-0.035845631	-0.032024678	-0.024901286	-0.031803177	-0.029181529	-0.038508568	-0.032646888	0.000125059	0.003105157	0.0120537	-0.004380338	0.010809581	-0.005444436	0.018986381	-0.004429653	-0.020234496	-0.028626224	-0.031072636	-0.027772713	-0.01905231	-0.017990452	-0.019734262	-0.025375978	-0.016646344	-0.022231635	-0.018876224	-0.019593007	-0.020634601	-0.02575905	-0.023169694	-0.02443431	-0.009773832	-0.012525609	-0.018152063	-0.021280921	-0.021778215	-0.019838088	-0.019025621	-0.016484346	0.311079026	0.302508212	0.329798381	0.377985636	0.260761905	0.373662483	0.379610057	0.375164246	-0.005118006	-0.008164654	-0.005526222	-0.004818595	-0.019364504	-0.016112735	-0.020757915	-0.015168513	-0.012526238	-0.019120641	-0.019740926	-0.022717422	-0.020728239	-0.017046071	-0.022118787	-0.017660404
MM7	-0.015728831	-0.015871641	-0.01732394	-0.015563567	0.002716347	-0.016751679	-0.019970262	-0.014974183	-0.013294946	-0.016630478	-0.009018732	-0.012279081	-0.019420573	-0.018696728	-0.020601872	-0.021036829	-0.022245427	-0.015973089	-0.016678289	-0.021932464	-0.016067049	-0.017719381	-0.011426196	-0.018963927	-0.025699436	-0.025997391	-0.024023912	-0.027957143	-0.031421286	-0.024805896	-0.014674233	-0.029731898	-0.013857474	-0.018926027	-0.0089454	-0.018815155	-0.014062325	-0.014404078	-0.018785454	-0.012047194	-0.016093751	-0.015489816	-0.016484342	-0.013217214	-0.008998921	-0.007171399	-0.015073883	-0.011405022	0.282861206	0.323456089	0.362322431	0.343063014	0.352690965	0.207122769	0.289467162	0.507284637	-0.027343334	-0.024533825	-0.01861768	-0.027333601	-0.025460064	-0.033275976	-0.03198663	-0.031698615	-0.020165035	-0.022823916	-0.023818866	-0.02289169	-0.026318755	-0.024855608	-0.026530519	-0.027052307	-0.015251794	-0.009911276	-0.00918861	-0.023171106	-0.019735103	-0.023931807	-0.020468627	-0.020187746	-0.002051957	0.005233936	0.002648923	0.00291981	0.004227805	-0.004749432	0.004204737	0.000474251	-0.018094993	-0.017801361	-0.0251044	-0.019068502	-0.026076383	-0.019154989	-0.02482009	-0.025635802	-0.007776472	-0.011371555	-0.000832675	-0.015252743	-0.018632835	-0.018722377	-0.015598906	-0.012859438	-0.022530168	-0.021804527	-0.022781579	-0.024052643	-0.019422296	-0.021630044	-0.031329064	-0.021906613	-0.022128686	-0.027054164	-0.017357134	-0.020456959	-0.02650829	-0.028461119	-0.020311633	-0.026912145	-0.015595259	-0.022040441	-0.020664441	-0.023215666	-0.021750459	-0.013393657	-0.018578561	-0.016884523	0.002094488	-0.002393994	-0.008092608	0.010141725	0.001593207	0.005018324	0.000747664	-0.004902648	-0.02695077	-0.026675059	-0.016263528	-0.018040036	-0.017559491	-0.016904026	-0.020998899	-0.024695912	-0.022096245	-0.020069375	-0.017969324	-0.021053905	-0.019395123	-0.016624756	-0.02495359	-0.019147629	-0.000861259	-0.001776634	-0.0056707	-0.010254207	0.005615838	-0.006742176	-0.002977082	0.00770649	-0.023103402	-0.01821243	-0.013688174	-0.020076621	-0.028832001	-0.016020934	-0.02105661	-0.026367385
