id	BAT_Old_1	BAT_Old_2	BAT_Old_3	BAT_Old_4	BAT_Young_1	BAT_Young_2	BAT_Young_3	BAT_Young_4	Beige fat_Old_1	Beige fat_Old_2	Beige fat_Old_3	Beige fat_Old_4	Beige fat_Young_1	Beige fat_Young_2	Beige fat_Young_3	Beige fat_Young_4	Bladder_Old_1	Bladder_Old_2	Bladder_Old_3	Bladder_Old_4	Bladder_Young_1	Bladder_Young_2	Bladder_Young_3	Bladder_Young_4	Bone_Old_1	Bone_Old_2	Bone_Old_3	Bone_Old_4	Bone_Young_1	Bone_Young_2	Bone_Young_3	Bone_Young_4	Brain_Old_1	Brain_Old_2	Brain_Old_3	Brain_Old_4	Brain_Young_1	Brain_Young_2	Brain_Young_3	Brain_Young_4	Cerebellum_Old_1	Cerebellum_Old_2	Cerebellum_Old_3	Cerebellum_Old_4	Cerebellum_Young_1	Cerebellum_Young_2	Cerebellum_Young_3	Cerebellum_Young_4	Colon_Old_1	Colon_Old_2	Colon_Old_3	Colon_Old_4	Colon_Young_1	Colon_Young_2	Colon_Young_3	Colon_Young_4	Eye_Old_1	Eye_Old_2	Eye_Old_3	Eye_Old_4	Eye_Young_1	Eye_Young_2	Eye_Young_3	Eye_Young_4	Heart_Old_1	Heart_Old_2	Heart_Old_3	Heart_Old_4	Heart_Young_1	Heart_Young_2	Heart_Young_3	Heart_Young_4	Kidney_Old_1	Kidney_Old_2	Kidney_Old_3	Kidney_Old_4	Kidney_Young_1	Kidney_Young_2	Kidney_Young_3	Kidney_Young_4	Liver_Old_1	Liver_Old_2	Liver_Old_3	Liver_Old_4	Liver_Young_1	Liver_Young_2	Liver_Young_3	Liver_Young_4	Lung_Old_1	Lung_Old_2	Lung_Old_3	Lung_Old_4	Lung_Young_1	Lung_Young_2	Lung_Young_3	Lung_Young_4	Muscle_Old_1	Muscle_Old_2	Muscle_Old_3	Muscle_Old_4	Muscle_Young_1	Muscle_Young_2	Muscle_Young_3	Muscle_Young_4	Pancrea_Old_1	Pancrea_Old_2	Pancrea_Old_3	Pancrea_Old_4	Pancrea_Young_1	Pancrea_Young_2	Pancrea_Young_3	Pancrea_Young_4	Skin_Old_1	Skin_Old_2	Skin_Old_3	Skin_Old_4	Skin_Young_1	Skin_Young_2	Skin_Young_3	Skin_Young_4	Small intestine_Old_1	Small intestine_Old_2	Small intestine_Old_3	Small intestine_Old_4	Small intestine_Young_1	Small intestine_Young_2	Small intestine_Young_3	Small intestine_Young_4	Spinal cord_Old_1	Spinal cord_Old_2	Spinal cord_Old_3	Spinal cord_Old_4	Spinal cord_Young_1	Spinal cord_Young_2	Spinal cord_Young_3	Spinal cord_Young_4	Spleen_Old_1	Spleen_Old_2	Spleen_Old_3	Spleen_Old_4	Spleen_Young_1	Spleen_Young_2	Spleen_Young_3	Spleen_Young_4	Testis_Old_1	Testis_Old_2	Testis_Old_3	Testis_Old_4	Testis_Young_1	Testis_Young_2	Testis_Young_3	Testis_Young_4	Thymus_Old_1	Thymus_Old_2	Thymus_Old_3	Thymus_Old_4	Thymus_Young_1	Thymus_Young_2	Thymus_Young_3	Thymus_Young_4	WAT_Old_1	WAT_Old_2	WAT_Old_3	WAT_Old_4	WAT_Young_1	WAT_Young_2	WAT_Young_3	WAT_Young_4
PM1	-0.078855704	-0.077456134	-0.081343736	-0.078643898	-0.081098673	-0.079329691	-0.078605668	-0.085631422	-0.032909225	-0.020523139	-0.024865345	-0.028001403	-0.031459721	-0.003654337	-0.011949149	-0.002988862	0.020037997	0.02083036	0.024715844	0.027163124	0.0244573	0.031885565	0.023894861	0.020312842	0.005088586	-0.001955211	0.018481912	0.008272631	0.01528211	0.012456693	-0.003861837	0.007692692	-0.009979096	0.007083125	-0.012543616	-0.013533593	-0.008621692	-0.008217685	-0.005255869	-0.011149015	0.031199201	0.038210234	0.033589321	0.031940818	0.043735467	0.04165058	0.041198454	0.039181171	0.074388793	0.070696265	0.073924279	0.070537544	0.072416692	0.069133058	0.074973521	0.073909519	-0.209968278	-0.210292671	-0.206211419	-0.207034273	-0.193796854	-0.190112452	-0.196180432	-0.19898489	0.077588433	0.084913984	0.090647708	0.085476834	0.089903749	0.090778173	0.08395236	0.084046031	-0.040450818	-0.033246817	-0.035452188	-0.037216302	-0.033724838	-0.026175512	-0.026689811	-0.027359694	0.025894554	0.032399578	0.030776767	0.029909234	0.030687243	0.032033451	0.031138301	0.034253141	0.008436264	0.04001103	0.006272404	0.006849586	0.011798231	0.012793436	0.016118764	0.009327166	-0.169190325	-0.166227519	-0.165874802	-0.166034646	-0.157728136	-0.160886396	-0.161241106	-0.156184099	0.076465954	0.082099784	0.088159068	0.083167138	0.087555225	0.085173733	0.083963739	0.082645507	-0.068629873	-0.068704052	-0.066440215	-0.067781089	-0.063509441	-0.063691027	-0.064920164	-0.065042936	0.060094993	0.064619593	0.061494448	0.067166097	0.069856445	0.068664468	0.061492666	0.07291955	-0.037212791	-0.036548511	-0.03800623	-0.034358345	-0.029187492	-0.027559723	-0.023596437	-0.025826897	0.038583451	0.037018224	0.038208641	0.028099116	0.03916631	0.036284277	0.041059113	0.043862746	0.089045723	0.09101255	0.100138324	0.096392821	0.099401579	0.104531901	0.080164263	0.097326821	0.050687982	0.045680689	0.077974794	0.043008428	0.087146505	0.091377554	0.094017754	0.090939018	-0.026741503	-0.028336839	-0.028406625	-0.018783055	-0.026954929	-0.028395282	-0.0231111	-0.02057142
PM2	-0.038209793	-0.036750687	-0.038073413	-0.036274879	-0.039076858	-0.039425678	-0.038665024	-0.042367835	-0.011289189	-0.017935892	-0.010608465	-0.010787385	-0.019218623	-0.024312069	-0.025931534	-0.023579437	0.007079056	0.005542877	0.002251439	0.006468065	0.010818347	0.008208174	0.003556259	2.41E-06	-0.036649138	-0.047849912	-0.035737908	-0.038689873	-0.045622534	-0.038938247	-0.04861752	-0.043990695	0.011216432	0.027931233	0.008995298	0.011078057	0.013079808	0.014332405	0.014171543	0.013580911	0.227361644	0.232329022	0.225643106	0.228729342	0.230533724	0.232329026	0.23337639	0.231417945	0.000206739	-0.000886801	0.000919912	-0.003157838	-0.009296206	-0.007069029	-0.004536256	-0.002699607	-0.056660672	-0.058666831	-0.057228487	-0.05030919	-0.055273623	-0.054866128	-0.053209941	-0.056381874	-0.056628515	-0.056475812	-0.055279668	-0.055152179	-0.054991149	-0.053505384	-0.05647507	-0.055458876	-0.042102828	-0.03942755	-0.040359851	-0.040843834	-0.041816312	-0.040082158	-0.039131958	-0.039294153	-0.033555079	-0.031881665	-0.032426035	-0.03194785	-0.033186061	-0.033013717	-0.033774207	-0.033513785	-0.00847913	0.00259235	-0.010866929	-0.009145026	-0.007735755	-0.006451552	-0.004262467	-0.008405832	-0.064565817	-0.065979887	-0.065064488	-0.066894376	-0.069204657	-0.066819549	-0.066910515	-0.068326008	-0.053896752	-0.053616082	-0.052083032	-0.052385821	-0.052129531	-0.051178052	-0.053312795	-0.052635693	-0.059592961	-0.059618495	-0.059913182	-0.059648533	-0.059850737	-0.059496363	-0.05962249	-0.059282688	-0.01653397	-0.015299556	-0.011959748	-0.012833074	-0.008180723	-0.009164058	-0.01305478	-0.008483148	0.225003254	0.214390381	0.211292328	0.224335355	0.211656615	0.217412183	0.224191483	0.207320237	0.001651786	0.000901982	0.001797497	-0.002154789	0.002960865	0.002240575	0.003372858	0.002576773	0.024118311	0.024500465	0.02969056	0.026379822	0.028956841	0.034413843	0.017506056	0.024386371	0.002026303	0.004899654	0.003933551	0.004036337	0.008862328	0.00824158	0.011102882	0.008507016	-0.013211515	-0.015930574	-0.014943525	-0.013846228	-0.021432803	-0.022570069	-0.02077744	-0.019497641
PM3	-0.068216762	-0.068296252	-0.068739132	-0.068284886	-0.066753838	-0.067591018	-0.067147318	-0.071811212	-0.012565347	-0.001326737	-0.011783141	-0.009783662	-0.012644909	0.024448517	0.014659702	0.02520725	-0.018690861	-0.017251784	-0.013966973	-0.011974483	-0.013353321	-0.00591339	-0.015379519	-0.015082126	-0.001440586	-0.017831354	-7.48E-05	-0.004230588	-0.011971044	-0.003827493	-0.025061333	-0.01700427	-0.028175658	-0.01260436	-0.027822793	-0.025173812	-0.022827358	-0.022076132	-0.019760293	-0.02437387	0.024719471	0.033377144	0.027601917	0.022052938	0.031306861	0.034636234	0.030822792	0.02983821	0.043787867	0.036214123	0.037247659	0.034309874	0.033955727	0.044853793	0.047844744	0.048887074	-0.081086995	-0.080812415	-0.07932785	-0.078711148	-0.075030322	-0.077473809	-0.077015323	-0.076195787	-0.050398995	-0.050217309	-0.049556845	-0.049976803	-0.048553982	-0.046228451	-0.051188652	-0.049873844	-0.039401277	-0.03589852	-0.03748194	-0.03831207	-0.039820626	-0.039274183	-0.036102811	-0.038034822	-0.007071999	-0.006969142	-0.006244115	-0.005746442	-0.005718476	-0.003878933	-0.006484021	-0.003152113	-0.025417563	-0.005914917	-0.025839448	-0.02257123	-0.020828481	-0.019886777	-0.018908004	-0.02217672	-0.094748575	-0.095263618	-0.095538012	-0.094879093	-0.094850012	-0.094067509	-0.094639215	-0.093921831	-0.046837278	-0.047509347	-0.04596568	-0.046956523	-0.044902366	-0.042775013	-0.047690176	-0.046221515	-0.069124815	-0.069194676	-0.068205295	-0.068742917	-0.06859984	-0.068813352	-0.069989443	-0.068941774	0.053314763	0.057167473	0.056130722	0.061766489	0.071451682	0.06751308	0.058483273	0.070254176	-0.052401713	-0.050274335	-0.048877025	-0.053122746	-0.047101234	-0.04854892	-0.045499751	-0.041793587	0.121904404	0.124327161	0.115661007	0.108747731	0.142700918	0.136086628	0.140719409	0.144586953	0.134058829	0.12892117	0.14231559	0.136755566	0.146003791	0.15029463	0.111358199	0.139512541	0.174914254	0.164221956	0.208854074	0.151328568	0.238281562	0.248985543	0.255020498	0.249916093	-0.042392919	-0.047417582	-0.047021207	-0.043466924	-0.047270638	-0.048905059	-0.047364197	-0.043899309
PM4	-0.0367299	-0.036785977	-0.039151631	-0.037362579	-0.036968791	-0.035998576	-0.035484443	-0.036520655	-0.031496691	-0.031376229	-0.031672533	-0.031786957	-0.029478818	-0.028565695	-0.030825472	-0.028103189	-0.033627572	-0.030794519	-0.033149842	-0.02849728	-0.02820302	-0.026186138	-0.031005542	-0.033157927	-0.029595434	-0.042146679	-0.029758046	-0.011338482	-0.038272319	-0.031753031	-0.044165539	-0.040789596	-0.026321295	-0.022640812	-0.027723987	-0.027100779	-0.025601996	-0.025378248	-0.025025996	-0.025307462	-0.03751773	-0.037904791	-0.037231654	-0.036572974	-0.034320463	-0.03638807	-0.034427867	-0.035563332	0.018406461	0.009208374	0.034027645	0.023544845	0.021230463	0.011043517	0.009800327	0.009054093	-0.075098829	-0.074723491	-0.072449644	-0.072796223	-0.065409595	-0.06617808	-0.067889462	-0.059693912	0.213505387	0.232895619	0.236648531	0.227246079	0.237384988	0.215539868	0.244458154	0.230791849	-0.045128548	-0.044942595	-0.048353534	-0.044395509	-0.040319747	-0.043633843	-0.042834946	-0.043087994	0.018150999	0.021297383	0.021211737	0.021129596	0.025689233	0.029539544	0.026149629	0.032148039	-0.025465426	-0.018875576	-0.026185562	-0.025342957	-0.024045652	-0.023543187	-0.023995582	-0.024600666	-0.061852584	-0.058110769	-0.060711933	-0.06101416	-0.055928931	-0.054341694	-0.051208672	-0.055725807	0.202951502	0.222960804	0.226125745	0.216669386	0.22778887	0.204153446	0.235580008	0.2212792	-0.05269063	-0.053291777	-0.050568928	-0.051982683	-0.042009471	-0.045817898	-0.038591459	-0.041551328	0.028199353	0.044955723	0.002542474	0.030653219	0.009848743	0.003358658	0.022001718	0.006098521	-0.04359308	-0.043207052	-0.04404066	-0.044228101	-0.038905208	-0.038793464	-0.037976003	-0.039367825	-0.011009237	-0.01211607	-0.014770896	-0.013775654	-0.020798302	-0.019645697	-0.020556874	-0.019924052	0.007871109	0.007597017	0.011827381	0.008722393	0.011011832	0.01346005	0.006755131	0.010660168	-0.012590867	-0.012913781	0.022028282	-0.012830696	0.002001403	0.001226901	0.00329788	0.001470797	-0.026626394	-0.026121607	-0.026442906	-0.022773907	-0.024794192	-0.024812894	-0.025680894	-0.024737921
PM5	0.081474593	0.087492512	0.0631819	0.072331128	0.056864577	0.053180496	0.057133718	0.039749661	-0.006281635	-0.016152544	-0.008927366	-0.004412799	-0.001971972	-0.029672982	-0.02372051	-0.027513106	-0.019574035	-0.021525821	-0.020185947	-0.018571056	-0.021694693	-0.016774766	-0.022331108	-0.022780855	-0.044279704	-0.045679309	-0.042081561	-0.040818732	-0.040693409	-0.041313323	-0.043437236	-0.039389796	-0.036930043	-0.030291663	-0.036467423	-0.038391305	-0.038612713	-0.038247282	-0.037395288	-0.037986673	-0.019144226	-0.019669998	-0.01896043	-0.017153968	-0.020505792	-0.023218046	-0.020683522	-0.021646782	-0.008662213	-0.000512291	-0.00666702	-0.004784374	-0.006563438	-0.000601091	-0.003594173	0.003004986	-0.072019054	-0.072724126	-0.071983232	-0.070824639	-0.07832337	-0.077151104	-0.077582739	-0.077266882	-0.020928932	-0.017427393	-0.01696268	-0.018616207	-0.01849631	-0.019356324	-0.018603713	-0.019310092	0.283023316	0.302926673	0.284821326	0.301847579	0.2990084	0.308210759	0.313959286	0.317534572	0.092487401	0.098542871	0.099484163	0.099076694	0.098745332	0.102067687	0.103201463	0.097171983	-0.035988813	-0.030742871	-0.035304245	-0.038169277	-0.038059503	-0.037734514	-0.037571005	-0.036487728	-0.05080261	-0.050290609	-0.03597852	-0.04832799	-0.05443962	-0.047183698	-0.047678259	-0.054527863	-0.019928874	-0.016720059	-0.015643656	-0.017251137	-0.016476172	-0.017573847	-0.015671019	-0.017076382	-0.050182183	-0.050843314	-0.053446578	-0.052054626	-0.052365611	-0.050508174	-0.05329377	-0.053170195	0.008711736	0.005655663	0.023442209	0.01338867	0.019467043	0.024500853	0.019559251	0.022822999	-0.013390307	-0.015596636	-0.017702695	-0.012966219	-0.014529847	-0.013897823	-0.013422303	-0.015736116	-0.037746269	-0.036636439	-0.036820088	-0.037664055	-0.038105738	-0.039774962	-0.038115004	-0.038457267	-0.016138621	-0.016565081	-0.011809625	-0.017058043	-0.016477222	-0.011991704	-0.011126799	-0.017915277	-0.016246486	-0.0044676	-0.034020127	-0.007591993	-0.031040938	-0.032278132	-0.031236589	-0.030314578	-0.01026458	-0.011944763	-0.007141393	-0.006766198	-0.004237261	-0.003577931	0.000998913	0.001245832
PM6	-0.016322351	-0.017521983	-0.004913592	-0.017559472	-0.020551834	-0.017834743	-0.015191687	0.026617048	-0.030382512	-0.031378777	-0.026978057	-0.0251475	-0.029203732	-0.04044681	-0.038502723	-0.041231719	0.001374185	0.000210227	-0.005192006	-0.009204097	0.013803894	-0.002527939	0.010209626	-0.00255758	-0.002941499	0.029025004	0.001536691	-0.006876058	0.018802674	0.013572289	0.038048595	0.052516626	-0.018071151	-0.023686287	-0.015591005	-0.023511753	-0.024395468	-0.025069615	-0.025641661	-0.021687571	-0.010362777	-0.010823342	-0.011626586	-0.00960605	-0.010629175	-0.011857078	-0.010582458	-0.010149007	-0.030304816	-0.028347311	-0.027595009	-0.028978965	-0.027548055	-0.032620391	-0.032593595	-0.033035772	0.044425832	0.040599922	0.02793944	0.029024753	0.015485007	0.026257873	0.017923568	0.013847423	-0.03248034	-0.030922263	-0.031000144	-0.031910717	-0.030848804	-0.032655797	-0.029594385	-0.031920309	-0.025527763	-0.02793298	-0.026501638	-0.028715249	-0.027084836	-0.0266077	-0.025948142	-0.025862074	-0.029384403	-0.028753867	-0.028782229	-0.028179376	-0.028444263	-0.028590185	-0.02804846	-0.030334268	-0.025188302	-0.034115731	-0.022777782	-0.031283656	-0.032814984	-0.0339897	-0.033935716	-0.030825259	0.308206197	0.341018288	0.348359296	0.338158748	0.283003182	0.343900107	0.333150253	0.306323256	-0.037375162	-0.035754579	-0.03561083	-0.037182795	-0.035410597	-0.037331283	-0.034226712	-0.036188454	0.057991776	0.069893915	0.053326855	0.061561205	0.050434317	0.055154185	0.055588666	0.059563953	-0.032513843	-0.033036013	-0.030955992	-0.03343897	-0.032690864	-0.032355486	-0.032812407	-0.03444225	0.005201882	0.002246647	0.003439854	0.006174782	-0.002456488	0.00150376	-0.003875768	-0.003495913	-0.032857241	-0.032681822	-0.033556264	-0.028897892	-0.032885996	-0.032212739	-0.031946176	-0.032312122	-0.03984189	-0.038852293	-0.039344027	-0.038677813	-0.038396931	-0.038443452	-0.033777966	-0.037948113	-0.040146654	-0.036450626	-0.04428154	-0.032658064	-0.045053354	-0.044742736	-0.046114473	-0.044810471	-0.026751082	-0.025691578	-0.023606454	-0.024812836	-0.02603708	-0.023385253	-0.023865786	-0.025483777
PM7	-0.028374299	-0.026728391	-0.031091636	-0.030521197	-0.029215581	-0.030333843	-0.030441732	-0.036672596	0.002358446	-0.005737866	0.001717019	-8.48E-05	-0.007143338	-0.01661741	-0.018993059	-0.016988081	0.016871562	0.014281086	0.014037087	0.017337465	0.013790603	0.016928953	0.00959857	0.008966738	-0.030277053	-0.035092426	-0.022758883	-0.032883265	-0.028978815	-0.028784498	-0.037206309	-0.026139678	0.211498282	0.228562412	0.184410267	0.203906686	0.209868427	0.220440565	0.229885102	0.201735603	-0.011433252	-0.007694282	-0.009067111	-0.009268414	-0.009851224	-0.009322983	-0.009332123	-0.010128895	0.00961783	0.009725914	0.007907405	0.007111914	-0.001986511	0.002735415	0.005419847	0.006906189	-0.067663494	-0.068068365	-0.066353563	-0.070237483	-0.069668219	-0.067598209	-0.069172918	-0.06762438	-0.042148321	-0.043305183	-0.043179634	-0.042274245	-0.04367031	-0.039975413	-0.045139387	-0.042784779	-0.029285953	-0.026191758	-0.025214863	-0.02867483	-0.032071482	-0.029767847	-0.029101433	-0.029596552	-0.034321241	-0.03472439	-0.033364593	-0.033145315	-0.035092522	-0.034007425	-0.035045757	-0.035835895	0.237470074	0.265343674	0.212692685	0.231118708	0.237079461	0.248104036	0.255472764	0.228108663	-0.079225938	-0.081687588	-0.077995152	-0.078876466	-0.078823587	-0.080024949	-0.080750672	-0.079147391	-0.04261027	-0.043503903	-0.042893569	-0.042189713	-0.042570583	-0.03958693	-0.044312835	-0.042354335	-0.040616071	-0.041732321	-0.042844975	-0.041046866	-0.042191622	-0.039379551	-0.041740531	-0.041339247	-0.014493663	-0.014720516	-0.00458792	-0.008885502	-0.003782828	-0.002020023	-0.008618272	-0.001009863	-0.028655238	-0.027305771	-0.019727544	-0.028578724	-0.029329534	-0.027939298	-0.030253757	-0.019823132	0.009899228	0.006790702	0.005479843	0.002986645	0.005025075	0.006509737	0.010129845	0.008121395	-0.029347647	-0.028398704	-0.020582282	-0.029766689	-0.027740087	-0.022206724	-0.024455236	-0.02978358	-0.012668524	-0.010537594	-0.01558828	-0.003170091	-0.013223376	-0.014482273	-0.014138916	-0.01562641	0.019769501	0.014537729	0.017434641	0.014575224	0.006820718	0.00301965	0.004391576	0.005847413
PM8	0.302956019	0.322896829	0.23776358	0.264632697	0.224333507	0.229877962	0.232094625	0.168375966	-0.004384285	-0.019240275	-0.013855503	0.002564926	0.021938558	-0.036161018	-0.01144369	-0.030656187	-0.040901698	-0.044091522	-0.044383852	-0.046705506	-0.038711718	-0.044918062	-0.040913216	-0.039591602	-0.048862442	-0.019900444	-0.040069716	-0.046440378	-0.027806783	-0.02441955	-0.003422461	-0.002632082	-0.033725478	-0.044350145	-0.028081141	-0.046307242	-0.048783624	-0.050799738	-0.051072673	-0.043425169	-0.013107824	-0.014321035	-0.014688083	-0.013098655	-0.020438871	-0.021386612	-0.017281626	-0.017526844	-0.043927925	-0.03463516	-0.039486139	-0.03704177	-0.039312121	-0.044024022	-0.04896337	-0.047093056	0.009880953	0.003579927	-0.020684561	-0.006350987	-0.038327844	-0.019093617	-0.0354249	-0.051015303	-0.01996267	-0.015094566	-0.015769312	-0.016815262	-0.017954444	-0.021316163	-0.015353237	-0.018257998	0.050036622	0.047216633	0.048713751	0.045828402	0.050865641	0.054496192	0.056045291	0.058927353	0.01719509	0.016674856	0.014645656	0.018332334	0.022200925	0.022371572	0.02484215	0.016561971	-0.039009073	-0.050819183	-0.034431378	-0.054192927	-0.055850274	-0.057892278	-0.056881344	-0.050697623	0.161235401	0.161583527	0.258696952	0.174670886	0.148934557	0.206850818	0.200947385	0.140777419	-0.020801131	-0.015277918	-0.01621718	-0.01747414	-0.018326058	-0.021753907	-0.014646719	-0.017775504	-0.013638328	-0.004860533	-0.020797336	-0.015108356	-0.026530624	-0.019986989	-0.018394125	-0.018626226	-0.042023408	-0.044092425	-0.036669408	-0.043354698	-0.043749641	-0.04102134	-0.040277586	-0.043644161	0.004767038	0.000319063	-0.003618009	0.006102148	0.001510546	0.005067784	0.002931812	-0.004068006	-0.067776009	-0.066365959	-0.065330149	-0.064401936	-0.069147364	-0.068895863	-0.069486686	-0.069187325	-0.055927097	-0.056485289	-0.057969769	-0.056608926	-0.057364111	-0.058179605	-0.0473635	-0.056218861	0.033427741	0.061953846	-0.062616138	0.024587364	-0.057156557	-0.06179216	-0.061051185	-0.055291546	-0.021214073	-0.021960201	-0.017140332	-0.016953593	-0.003948299	-0.0023261	0.001671	0.00259238
PM9	-0.045018433	-0.045609542	-0.045926164	-0.045186966	-0.043838931	-0.044294403	-0.042205222	-0.044174519	-0.025198675	-0.025217984	-0.023074789	-0.021769701	-0.024791358	-0.025405974	-0.027569808	-0.025051321	-0.008432339	-0.005959241	-0.006220142	-0.004342064	0.002095276	0.00394745	0.002664067	-0.000635363	-0.00533296	0.004337079	0.015575322	-0.000921163	0.019323989	0.016739336	0.004336925	0.01634628	-0.019891412	-0.006905019	-0.01916732	-0.019178669	-0.017597287	-0.016983737	-0.016123707	-0.017943914	0.021714179	0.023660089	0.02143476	0.025854697	0.028034463	0.024786436	0.02801272	0.024731223	0.000772983	-0.001422439	-0.00013885	-0.002000791	-6.40E-05	-0.001108998	0.002096862	0.002666202	-0.052599472	-0.054365998	-0.050580998	-0.050382524	-0.048452087	-0.050384485	-0.049833847	-0.047768034	-0.047932771	-0.04781398	-0.046761409	-0.046636349	-0.04496436	-0.043570649	-0.046409117	-0.045494482	-0.03846571	-0.037494268	-0.035747298	-0.034296114	-0.03546741	-0.031857033	-0.033724937	-0.034734418	-0.020951479	-0.019457355	-0.017735229	-0.01890304	-0.018835681	-0.014656071	-0.016847168	-0.016133995	-0.023673213	-0.0115872	-0.02311544	-0.022072835	-0.02103182	-0.020141734	-0.01817433	-0.020114915	-0.056286193	-0.052795043	-0.052790448	-0.054857474	-0.056968543	-0.051223261	-0.051850407	-0.055901201	-0.038398588	-0.038101499	-0.03648646	-0.037037001	-0.034939	-0.032490514	-0.037069196	-0.036419802	-0.042149078	-0.042437658	-0.042564927	-0.042030746	-0.043446113	-0.042547232	-0.044960595	-0.043520426	0.005115363	0.006696341	0.009727251	0.011698367	0.017971232	0.016347814	0.009514356	0.016673161	0.020857571	0.020445096	0.017725404	0.02257809	0.020598126	0.024802623	0.022547118	0.019356886	-0.002110668	0.000131287	-0.001107187	0.001563314	0.003601484	0.002158841	0.002398933	0.003312203	0.324005236	0.315788597	0.329558264	0.335931704	0.345693275	0.344347243	0.277777771	0.338935289	0.007607875	0.011670386	0.018631201	0.010504283	0.025215295	0.025087325	0.026010114	0.025912701	-0.02138763	-0.023069203	-0.02130762	-0.018822098	-0.023902751	-0.023242415	-0.020770094	-0.020764207
PM10	-0.013483275	-0.011985031	-0.015182235	-0.013690225	-0.01470674	-0.011928037	-0.011480947	-0.014943163	-0.020698168	-0.019599564	-0.01906899	-0.020609299	-0.021715077	-0.005704112	-0.011062556	-0.009389883	-0.014654505	-0.01553319	-0.014089728	-0.017334801	-0.01378254	-0.01408026	-0.012262211	-0.013238256	-0.018616796	-0.014334446	-0.019549541	-0.023195315	-0.008391161	-0.022406223	-0.01755836	-0.010572834	-0.017003011	-0.015025359	-0.018105466	-0.015943021	-0.014469488	-0.01449871	-0.014090075	-0.014888575	-0.015853006	-0.014583147	-0.015474759	-0.016332688	-0.017625411	-0.01583765	-0.017297864	-0.01712962	-0.021150158	-0.021599341	-0.023914303	-0.022617782	-0.020039718	-0.021086558	-0.021575938	-0.02162805	0.328518106	0.315186235	0.360773731	0.338247409	0.363516088	0.320804934	0.341741055	0.376332418	-0.028529074	-0.029922263	-0.029967856	-0.030909204	-0.02960247	-0.029791653	-0.030149906	-0.030267825	-0.013512995	-0.015676591	-0.018594861	-0.017667388	-0.014560917	-0.017392558	-0.01625238	-0.018267685	-0.028801477	-0.029171249	-0.028070156	-0.028458305	-0.029606361	-0.028722327	-0.029532026	-0.0299874	-0.011922196	-0.011486171	-0.01328762	-0.011187558	-0.010309572	-0.010595523	-0.010059885	-0.010839295	-0.022310843	-0.021902988	-0.021702708	-0.020178395	-0.021719199	-0.01977753	-0.019606071	-0.022508119	-0.025524952	-0.02720081	-0.026757534	-0.027865423	-0.026502335	-0.026794568	-0.02596188	-0.0266232	-0.011719875	-0.011059544	-0.011893933	-0.012418528	-0.011113463	-0.014887956	-0.012864137	-0.01395524	-0.02574613	-0.026828713	-0.02429109	-0.027095146	-0.024473206	-0.024989677	-0.026215776	-0.024374428	-0.012197171	-0.013755468	-0.011462466	-0.012026072	-0.015648022	-0.013806919	-0.016028	-0.013090664	-0.009593732	-0.010246094	-0.012096128	-0.010680794	-0.007484508	-0.007700496	-0.008011807	-0.006645464	-0.006865243	-0.009616967	-0.008927023	-0.007175898	-0.004616502	-0.007230062	-0.011067218	-0.004899128	-0.010121657	-0.010092481	-0.011762747	-0.015590624	-0.005641604	-0.002195234	-0.005648552	-0.002437744	-0.017766767	-0.017360815	-0.01855679	-0.018558891	-0.017312297	-0.018168675	-0.019783413	-0.020666531
