Module	Tissue	mean_Aged	mean_Young	FC	pvalue
MM1	BAT	0.028729984	0.016502329	1.740965355	0.416447033
MM1	Beige fat	0.006185498	-0.002495167	-2.478991438	0.15148334
MM1	Bladder	-0.061244524	-0.069078465	0.886593589	0.221998976
MM1	Bone	-0.023591157	-0.021708949	1.086701965	0.618689682
MM1	Brain	0.00753164	-0.003539063	-2.128144997	0.000792857
MM1	Cerebellum	0.001147752	-0.005079964	-0.225937095	0.152863158
MM1	Colon	-0.033316766	-0.02852129	1.168136706	0.101531654
MM1	Eye	-0.014708566	-0.012909123	1.139393087	0.756473738
MM1	Heart	-0.016371007	-0.016471997	0.993868988	0.979375749
MM1	Kidney	0.03141179	0.011692103	2.68658174	0.064793107
MM1	Liver	-0.01313841	-0.014207758	0.924734889	0.866634144
MM1	Lung	0.054267075	0.056910055	0.953558646	0.661958007
MM1	Muscle	-0.036138299	-0.035203337	1.026558895	0.522669957
MM1	Pancrea	-0.038932214	-0.038661199	1.007010006	0.866353201
MM1	Skin	-0.024846362	-0.019889579	1.249215079	0.06016473
MM1	Small int	-0.035412793	-0.040891055	0.866027868	0.160812928
MM1	Spinal cord	-0.016942963	-0.010000452	1.694219789	0.018955129
MM1	Spleen	0.339154235	0.291600147	1.16307978	0.300019977
MM1	Testis	-0.011766464	-0.003857573	3.050224322	0.030366877
MM1	Thymus	-0.075393688	-0.069407835	1.086241748	0.199734968
MM1	WAT	-0.024927306	-0.026479287	0.941388849	0.499284641
MM2	BAT	-0.021153509	-0.022260391	0.950275727	0.484486477
MM2	Beige fat	-0.021298745	-0.017295281	1.231477227	0.064353481
MM2	Bladder	-0.023587987	-0.019622372	1.202096622	0.076579882
MM2	Bone	0.344756111	0.323460363	1.065837272	0.750893168
MM2	Brain	-0.025608265	-0.025856076	0.990415744	0.846223942
MM2	Cerebellum	-0.017695531	-0.018244178	0.96992753	0.544236866
MM2	Colon	0.001685506	0.006416879	0.26266751	0.538324054
MM2	Eye	-0.022286713	-0.016946492	1.31512249	0.006219478
MM2	Heart	-0.02465205	-0.019603108	1.257558244	0.000452561
MM2	Kidney	-0.014037579	-0.013633736	1.02962088	0.852553
MM2	Liver	-0.010954519	-0.011272384	0.971801417	0.887044168
MM2	Lung	-0.019608257	-0.017567816	1.116146536	0.629153213
MM2	Muscle	-0.021994821	-0.011441178	1.922426277	0.037433957
MM2	Pancrea	-0.015935006	-0.0188217	0.846629449	0.363645013
MM2	Skin	-0.024059152	-0.018805659	1.279357045	0.007543299
MM2	Small int	0.010219012	0.00993751	1.028327242	0.969444248
MM2	Spinal cord	-0.021638215	-0.021639397	0.999945366	0.999314861
MM2	Spleen	-0.023395381	-0.022436736	1.042726603	0.386443265
MM2	Testis	-0.02343943	-0.018610568	1.259468814	0.018637445
MM2	Thymus	-0.017624028	-0.014697487	1.199118428	0.451226941
MM2	WAT	-0.021638802	-0.017112836	1.26447786	0.091331829
MM3	BAT	-0.029723651	-0.024549965	1.210741085	0.027873371
MM3	Beige fat	-0.027990936	-0.025094848	1.11540569	0.465937292
MM3	Bladder	-0.019722165	-0.028932212	0.681668078	0.008463148
MM3	Bone	-0.02831447	-0.029507563	0.95956651	0.676908685
MM3	Brain	-0.009582494	-0.016379923	0.585014618	0.098767977
MM3	Cerebellum	-0.02634481	-0.026167771	1.006765517	0.85344429
MM3	Colon	-0.026707802	-0.027629868	0.966627944	0.807189592
MM3	Eye	-0.023958987	-0.023719938	1.010077988	0.924133544
MM3	Heart	0.022332971	0.027443398	0.813783002	0.278958199
MM3	Kidney	-0.018575916	-0.020473763	0.90730346	0.359836897
MM3	Liver	-0.004454405	-0.006785314	0.656477283	0.76615693
MM3	Lung	-0.007138246	0.006057217	-1.178469536	0.162578342
MM3	Muscle	0.31442536	0.355036022	0.885615376	0.302710549
MM3	Pancrea	-0.00227468	-0.005621709	0.404624306	0.50837042
MM3	Skin	-0.014086035	-0.019256711	0.731487083	0.076683076
MM3	Small int	-0.029874394	-0.029862736	1.000390378	0.995797477
MM3	Spinal cord	-0.026558726	-0.029143156	0.911319479	0.138031239
MM3	Spleen	0.01115117	0.014941038	0.746345091	0.674940264
MM3	Testis	-0.03046833	-0.031799935	0.958125544	0.325724586
MM3	Thymus	-0.014496537	-0.019408328	0.746923534	0.18140439
MM3	WAT	-0.024752421	-0.022028435	1.123657743	0.259859714
MM4	BAT	0.008517899	0.004502393	1.89186034	0.253335783
MM4	Beige fat	-0.018819516	-0.006535506	2.879580518	0.022313037
MM4	Bladder	0.008087289	0.016585987	0.487597701	0.298859971
MM4	Bone	-0.016528043	-0.00880564	1.8769837	0.252498434
MM4	Brain	-0.040637866	-0.040912703	0.993282374	0.717526377
MM4	Cerebellum	-0.024322275	-0.022304526	1.090463658	0.099102206
MM4	Colon	-0.036195348	-0.032626363	1.109389607	0.270725941
MM4	Eye	-0.004456892	0.016838316	-0.264687499	0.106176514
MM4	Heart	-0.022029978	-0.024753519	0.889973583	0.209226318
MM4	Kidney	-0.014436699	-0.016140755	0.894425273	0.673074462
MM4	Liver	-0.020500319	-0.029001208	0.706878098	0.049711273
MM4	Lung	-0.021782256	-0.017489266	1.245464307	0.282400726
MM4	Muscle	-0.023943511	-0.019626201	1.219976815	0.1443003
MM4	Pancrea	-0.044411349	-0.046748522	0.950005424	0.012753947
MM4	Skin	0.342708822	0.328919791	1.04192217	0.638567796
MM4	Small int	-0.03010888	-0.028835503	1.044160059	0.679760272
MM4	Spinal cord	-0.017044767	-0.008311676	2.050701567	0.046156649
MM4	Spleen	-0.025714161	-0.024396624	1.05400487	0.50699304
MM4	Testis	-0.007972006	0.000112897	-70.61309202	0.180949169
MM4	Thymus	-0.012025775	-0.00671379	1.791205221	0.211822639
MM4	WAT	-0.012839693	0.000697729	-18.40213385	0.23877773
MM5	BAT	-0.011057086	-0.009941403	1.112225941	0.685610402
MM5	Beige fat	-0.014339342	-0.006727266	2.131525984	0.045184226
MM5	Bladder	-0.010058814	-0.010236713	0.982621473	0.970248354
MM5	Bone	-0.0399234	-0.038125245	1.047164398	0.14365591
MM5	Brain	-0.03205429	-0.029960683	1.069878489	0.380775206
MM5	Cerebellum	-0.013702367	-0.015504767	0.883751851	0.446220161
MM5	Colon	-0.013584365	-0.015559768	0.873044171	0.674417389
MM5	Eye	-0.033344101	-0.028768193	1.159061336	0.007108918
MM5	Heart	-0.017062173	-0.016192197	1.053728087	0.834046619
MM5	Kidney	-0.027268107	-0.021891637	1.245594705	0.006353048
MM5	Liver	-0.014979497	-0.010830242	1.383117533	0.35604817
