Module	Tissue	mean_Aged	mean_Young	FC	pvalue
PM1	BAT	-0.079074868	-0.081166364	0.974231992	0.297579251
PM1	Beige fat	-0.026574778	-0.012513017	2.123770588	0.12160156
PM1	Bladder	0.023186831	0.025137642	0.922394839	0.535983067
PM1	Bone	0.00747198	0.007892415	0.94672923	0.946292333
PM1	Brain	-0.007243295	-0.008311065	0.871524261	0.842620171
PM1	Cerebellum	0.033734894	0.041441418	0.814038108	0.008841603
PM1	Colon	0.07238672	0.072608198	0.996949694	0.896824632
PM1	Eye	-0.20837666	-0.194768657	1.069867521	0.001863036
PM1	Heart	0.08465674	0.087170078	0.971167417	0.473090991
PM1	Kidney	-0.036591531	-0.028487464	1.284478379	0.01358618
PM1	Liver	0.029745033	0.032028034	0.928718673	0.214194148
PM1	Lung	0.015392321	0.012509399	1.230460448	0.751187264
PM1	Muscle	-0.166831823	-0.159009934	1.049191195	0.002848746
PM1	Pancrea	0.082472986	0.084834551	0.972162698	0.416544658
PM1	Skin	-0.067888807	-0.064290892	1.055963063	0.001996834
PM1	Small int	0.063343783	0.068233282	0.928341429	0.149773265
PM1	Spinal cord	-0.036531469	-0.026542637	1.376331557	0.000811413
PM1	Spleen	0.035477358	0.040093112	0.884874151	0.177119102
PM1	Testis	0.094147355	0.095356141	0.987323454	0.845955628
PM1	Thymus	0.054337973	0.090870208	0.597973468	0.018280182
PM1	WAT	-0.025567006	-0.024758183	1.032668906	0.790740717
PM10	BAT	-0.013585192	-0.013264722	1.024159553	0.784942548
PM10	Beige fat	-0.019994005	-0.011967907	1.670635078	0.100792166
PM10	Bladder	-0.015403056	-0.013340817	1.154581184	0.055019298
PM10	Bone	-0.018924025	-0.014732145	1.284539702	0.311127165
PM10	Brain	-0.016519214	-0.014486712	1.140301143	0.051405105
PM10	Cerebellum	-0.0155609	-0.016972636	0.916822806	0.039808921
PM10	Colon	-0.022320396	-0.021082566	1.058713441	0.145307551
PM10	Eye	0.33568137	0.350598624	0.957452048	0.376517571
PM10	Heart	-0.029832099	-0.029952964	0.995964865	0.826914932
PM10	Kidney	-0.016362959	-0.016618385	0.984629899	0.86023161
PM10	Liver	-0.028625297	-0.029462029	0.971599656	0.057242133
PM10	Lung	-0.011970886	-0.010451069	1.145422209	0.039885709
PM10	Muscle	-0.021523734	-0.02090273	1.029709218	0.499896558
PM10	Pancrea	-0.02683718	-0.026470496	1.013852555	0.525333155
PM10	Skin	-0.01177297	-0.013205199	0.891540521	0.17589796
PM10	Small int	-0.02599027	-0.025013272	1.039059185	0.255302518
PM10	Spinal cord	-0.012360294	-0.014643401	0.844086291	0.042752674
PM10	Spleen	-0.010654187	-0.007460569	1.428066325	0.003976002
PM10	Testis	-0.008146283	-0.006953228	1.171582945	0.504299924
PM10	Thymus	-0.011891877	-0.003980784	2.987320775	0.00335339
PM10	WAT	-0.018060816	-0.018982729	0.951434104	0.323391798
PM11	BAT	0.12963108	0.115907253	1.118403518	0.012678727
PM11	Beige fat	0.204270965	0.12104312	1.687588398	0.06046065
PM11	Bladder	0.015379069	0.021236815	0.724170209	0.124538807
PM11	Bone	-0.041727302	-0.043505172	0.959134284	0.591773945
PM11	Brain	-0.006254788	-0.006289091	0.994545595	0.982158655
PM11	Cerebellum	-0.051801892	-0.052664033	0.983629415	0.457561536
PM11	Colon	-0.026939456	-0.032280339	0.834546882	0.011544437
PM11	Eye	-0.064188043	-0.069560666	0.922763491	0.007799213
PM11	Heart	-0.051216488	-0.050445709	1.015279372	0.707724612
PM11	Kidney	-0.023321232	-0.028530067	0.817426463	0.019537167
PM11	Liver	0.012234031	0.006320687	1.935554113	0.020684924
PM11	Lung	-0.0073361	-0.008149007	0.900244628	0.677121763
PM11	Muscle	-0.043304852	-0.047144639	0.918553061	0.128419931
PM11	Pancrea	-0.049267544	-0.049039886	1.004642303	0.916770412
PM11	Skin	-0.022091788	-0.023737624	0.930665533	0.141519231
PM11	Small int	-0.035523717	-0.03247912	1.093740131	0.206375585
PM11	Spinal cord	-0.041850106	-0.040512523	1.033016519	0.661841693
PM11	Spleen	-0.030947069	-0.035319522	0.876202953	0.00254297
PM11	Testis	-0.034517529	-0.035223823	0.979948393	0.828735075
PM11	Thymus	0.020779853	-0.029048177	-0.715358254	0.115819443
PM11	WAT	0.238250484	0.229163946	1.039650818	0.085188997
PM12	BAT	0.340993438	0.28181166	1.210004716	0.028737729
PM12	Beige fat	-0.000439547	-0.004656258	0.094399091	0.628204108
PM12	Bladder	-0.033300805	-0.032056053	1.03883049	0.138678946
PM12	Bone	-0.050853611	-0.044811367	1.134837306	0.01650066
PM12	Brain	-0.04677736	-0.050882591	0.919319542	0.133672423
PM12	Cerebellum	0.027630777	0.027911027	0.989959183	0.85051667
PM12	Colon	0.002495234	0.000855001	2.918400633	0.505886208
PM12	Eye	-0.067338513	-0.071401954	0.943090629	0.00369636
PM12	Heart	-0.034613594	-0.033581524	1.030733254	0.281031322
PM12	Kidney	0.015199123	0.018770075	0.809752942	0.018261266
PM12	Liver	0.044241665	0.050744942	0.871843838	0.005001675
PM12	Lung	-0.046899901	-0.05139227	0.912586679	0.17903379
PM12	Muscle	-0.017303642	-0.017188574	1.006694462	0.987806508
PM12	Pancrea	-0.032108591	-0.03108173	1.03303743	0.136426484
PM12	Skin	-0.064388908	-0.065039237	0.990000974	0.371407946
PM12	Small int	0.011704249	0.01641342	0.713090162	0.097392737
PM12	Spinal cord	0.016354273	0.02351335	0.695531386	0.010065478
PM12	Spleen	-0.035050895	-0.035218132	0.995251388	0.738500803
PM12	Testis	-0.018087259	-0.014703637	1.230121436	0.252660756
PM12	Thymus	0.037752038	-0.004527101	-8.339120868	0.070393138
PM12	WAT	-0.013088242	0.000401027	-32.63683034	0.001450908
PM13	BAT	-0.047045228	-0.045666593	1.030189131	0.61211702
PM13	Beige fat	0.069282113	0.134352575	0.515673875	0.098891866
PM13	Bladder	-0.023497714	-0.027753956	0.84664378	0.18627046
PM13	Bone	0.117867084	0.078811618	1.495554677	0.007456388
PM13	Brain	0.03712549	0.027898304	1.3307436	0.176403026
PM13	Cerebellum	-0.058855382	-0.060431466	0.973919481	0.007024063
PM13	Colon	0.000559341	0.005425944	0.103086403	0.157997187
PM13	Eye	-0.078073986	-0.081004416	0.963823833	0.042070432
PM13	Heart	-0.06438997	-0.06697734	0.961369472	0.236975149
PM13	Kidney	-0.047429191	-0.05540325	0.856072347	1.94528E-05
PM13	Liver	-0.020525686	-0.029008519	0.707574417	0.003335045
PM13	Lung	0.046899777	0.0369801	1.268243659	0.154085787
PM13	Muscle	-0.082792685	-0.082802591	0.999880375	0.992555279
PM13	Pancrea	-0.064048462	-0.065770377	0.973819285	0.311249465
PM13	Skin	-0.02374423	-0.024561277	0.966734333	0.535829785
